text,label;
ıııııııı ıııııı ıııııııı ıııııııı ıııııııııııı ıııı ıııııııı ıııııııı ıııı ıııııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııııııııııı ıııııı ıııııııııııı ıııııııı,Verbal abuse;
ıııııııııııııı ıııııııııı ıııııı ıııııı ıııııı ıııııııı ıııııııııı,religion_off;
ıııııııııııı ıııııı ıııııııııı ıııııııııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııııı ıııııı ıııııııı ıııııııııı ıııııııııııııııı ıııııııııııı ıııııııııııııııııı,Verbal abuse;
ıııııııııııııı ıııııııııııııııııı ıııııı ıııııı ıııııııııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııııı,Verbal abuse;
ıııııııııııııı ıııııııııııı ıııııııı ıııııııı ıııııııı ıııııııııııı ıııııııı ıııııı ıııı ıııııııııı ıııııııııııı ıııııııııı,Racism;
ıııııııııııı ıııııııı ıııııııı,Misogyny;
ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııııııııııı ıııııııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııı,Verbal abuse;
ıııı ıııııııııı ıııııııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııııııııı ıııııı ıııı ıııııııı ıııııııı ıııııııııııııı ıııııııııııı,Misogyny;
ıııııı ıııııı ıııııı ıııııı ıııııııı,Verbal abuse;
ıııı ıııııııııııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııııı ıııııııııııııııııııııııııı ıııııııı ıııııııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııı ıııııııııııı ıııııııı ıııııııııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı ıııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııı ıııııııııııııııı ıııııııııı ıııııııııı ıııııııııı,not offensive;
ıııııııııı ıııı ıııııııı ıııııııı ıııııııııııı ıııııııı ıııııı ıııııııı ıııııııııııııı ıııııııı ıııııııııııııııı ıııııııı ıııııııııııııı ıııııııııı ıııııııııııı,Misogyny;
ıııı ıııııııııııııııııı ıııııııııı ıııııııııııı ıııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııııı ıııııııııı ıııııııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııı ıııııııııııııııı ıııııııııı,Racism;
ıııııı ıııııııııııı ıııııııııııııııı ıııııı ıııııııı ıııııııı ıııııııııııı,not offensive;
ıııııııı ıııııııııııı ıııııııııııı ıııııııııııııııı ıııııııı ıııııııııııııııı,not offensive;
ıııııııııı ıııııı ıııııııııııııııııııııı ıııııı ıııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııı ıııııııı,Verbal abuse;
ıııııııııı ıııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııı ıııııııııı,Verbal abuse;
ıııııııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııııııı ıııııııııııııııı ıııııı ıııııııııı ıııııı ıııııııııııııı ıııııı ıııııııııııı ıııııııııııı,Verbal abuse;
ıııııı ıııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııııııı ıııııııııııııı ıııııııııı ıııııı,Racism;
ıııııııı ıııııııııı ıııııııııı ıııı ıııııııı ıııııııııı ıııııııııııııı ıııııı ıııı ıııııııı ıııııııı ıııııı ıııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııı ıııııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııı ıııııııııııııııı ıııııııı ıııııııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııı ıııııı,Verbal abuse;
ıııı ıııııııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııı ıııııı ıııııııı ıııııııııı,Misogyny;
ıııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııııııııı ıııııııııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııııııııııııı ıııııııııııı ıııııııııııı ıııııııı ıııııııı ıııııııııııı ıııııııııııııı,Racism;
ıııııııı ıııııı ıııııııı ıııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııı ıııııı ıııııı ıııııııııı ıııııııı ıııııııııııııııııı,Verbal abuse;
ıııııııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııııııı ıııııııııı ıııııııııııııııı,Misogyny;
ıııı ıııııııııı ıııııı ıııııııı,not offensive;
ıııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııı ıııııııııı ıııııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııı,not offensive;
ıııııııııııııı ıııııııııııııııı ıııııı ıııııııııııı ıııııııııııııı ıııııııı ıııı ıııııııııı ıııııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııı ıııııııı ıııııııı ıııııı,Verbal abuse;
ıııııııııı ıııııııı ıııııııı,not offensive;
ıııııııı ıııııııııııı ıııı ıııııııı ıııııııııı ıııııııııı ıııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııııı ıııııııı ıııııııııııı ıııııı ıııııııı ıııııııııııııı ıııııııı ıııııııııııııı ıııııııııııııı,Verbal abuse;
ıııııııııııı ıııııııı ıııı,not offensive;
ıııııııııı ıııııııı ıııııııııı ıııııııııııııı ıııııı ıııııııı ıııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııııı ıııııııııı ıııııı ıııııı ıııııı ıııııııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııııııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııı ıııııı ıııııııı ıııııııııııııı ıııııı ıııııııııııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııı ıııııııııııııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııı,Racism;
ıııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııı ıııııııııı ıııııııı ıııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııııı ıııııııııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııııı,Verbal abuse;
ıııııı ıııııı ıııııııııııı ıııııııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııııııııııııııı ıııııı ıııııııııı ıııııı ıııııı,Racism;
ıııııı ıııııı ıııııııı ıııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııı ıııııı ıııı ıııııııı ıııııııı ıııııııııııııı ıııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııııı ıııı ıııııııı ıııııııııııııııı ıııııııııı ıııııııııııııııı ıııııııııııı ıııııııı ıııııııııııııı ıııııııı,religion_off;
ıııııııı ıııııııııı,Verbal abuse;
ıııııı ıııııı ıııııı ıııııı ıııııı ıııııı ıııııı ıııııııı ıııııı,Verbal abuse;
ıııııııııııı ıııııııııııı ıııııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııı ıııııııı ıııııı ıııı ıııııııı ıııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııı ıııııııııııı ıııııı,Verbal abuse;
ıııııııı ıııı ıııı ıııııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı ıııııııııııı ıııııııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııı ıııııııııııııı ıııııııııı,not offensive;
ıııııı ıııııııı ıııııııı ıııııııııııııı ıııııııııııııı ıııııııııııı ıııı ıııııııı ıııııı ıııııııııııı ıııııııı,religion_off;
ıııııııııı ıııııııııııııı ıııııı ıııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııı ıııııı ıııııııı ıııııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııııııı ıııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııı ıııııı ıııııı ıııııııııı ıııııııııı ıııı ıııııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııııı ıııııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııı ıııııııı ıııııı ıııııııııııı ıııııııı ıııı ıııııı ıııııııı ıııııı ıııııııı ıııııııııı,not offensive;
ıııııııııı ıııııııı ıııııııııı ıııııııııııııııııııı ıııııııı ıııııııııı ıııııııııııııı,Racism;
ıııııııııııı ıııııııı ıııı ıııııı ıııııııııı ıııııııııııııı ıııııııı ıııııııııııı ıııııııııııııı,Racism;
ıııııı ıııııı ıııııııııı ıııııı ıııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııı ıııııııııııııı ıııııııııııı ıııııııııııııı ıııııııııı ıııııı ıııı ıııııııııııııııııı,Racism;
ıııııı ıııııııı ıııııııııı ıııııı ıııııııııııı ıııııı ıııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııı ıııııııııı,Racism;
ıııııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııııııııı ıııııı ıııııı ıııııı ıııııııı ıııııı ıııııııııııı,not offensive;
ıııııııııı ıııııııııı,Misogyny;
ıııııı ıııııı ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııııııı ıııııııııııı ıııııııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııııııııı ıııııı ıııııııııı ıııııııııııı,Verbal abuse;
ıııııııııııııı ıııı ıııııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııııııııı ıııııı ıııııııııııı,Racism;
ıııııııı ıııııııııı ıııııııı ıııııı ıııııı ıııııııııı ıııııııııı ıııııııııııı ıııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııı ıııııı ıııııııı ıııııııı ıııı ıııııı ıııııı ıııııııı ıııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııııııı ıııııı ıııı ıııııııı ıııııııı,Verbal abuse;
ıııııııııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııııı ıııııı ıııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııı ıııııı ıııııııııııı,Racism;
ıııııııı ıııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııııııııııı,Verbal abuse;
ıııııııııııııııı ıııııııııııı ıııııı ıııı ıııııııı ıııııııııııı ıııııııı ıııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııııııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııııııııı,Racism;
ıııııı ıııııııı ıııııııııııı ıııııııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııı,Verbal abuse;
ıııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııı ıııııııı ıııııııııııııı ıııııııı ıııııııııııı ıııı ıııııııııııı,Verbal abuse;
ıııııı ıııııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııı ıııııııı ıııııııııııı ıııııııı ıııııı ıııııııı ıııııı,Verbal abuse;
ıııııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııııııı,Verbal abuse;
ıııııııı ıııııııııııııı ıııııııı ıııııı ıııııı ıııııııııı ıııııııııı,Misogyny;
ıııııııı ıııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııı ıııııııııııı ıııııııııııı ıııııııııııııııı,Misogyny;
ıııı ıııııııııııı ıııııııı ıııııııııııııı ıııı ıııııııı ıııııı ıııııı ıııııııııııııııııııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııı ıııııı ıııııııııııııı ıııııııı ıııııııı,Racism;
ıııııııı ıııııııııııııı ıııııııııııı ıııııı ıııııııııııııı ıııııı ıııııııııııı ıııııı ıııııııı ıııııı ıııııııııııı ıııııııııııı ıııııııı ıııııııııııı ıııııııııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı ıııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııı ıııııı ıııııııııııı ıııııııı ıııııııııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııııııııı ıııııı ıııııııı ıııııııııııı ıııııııııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııııııı,Misogyny;
ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııııı,Verbal abuse;
ıııııı ıııııı ıııııııııı ıııııı ıııııııı ıııııııııııııı ıııııııııı ıııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııııı,Racism;
ıııı ıııııı ıııııııııııı,Verbal abuse;
ıııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııı ıııııı ıııııııııııı ıııııııııı ıııııııııı ıııııııııııı,Misogyny;
ıııııııııı ıııııııııı ıııııııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııııııı ıııııııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııı ıııııı ıııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııı ıııııııııı ıııııııııııı,not offensive;
ıııııı ıııııııı ıııııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııııııııı ıııııı ıııı ıııııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııııı ıııııı ıııııı ıııııııııııııııı ıııııı ıııııııııııı ıııııııııı ıııııı ıııııııııı ıııııı ıııııııııııı,Verbal abuse;
ıııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııı,Verbal abuse;
ıııı ıııııııııı,Misogyny;
ıııııııııı ıııı ıııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııııııı ıııııııııııı ıııııı ıııııııııı,not offensive;
ıııııııı ıııııııı ıııı ıııııııııı ıııııııı ıııııııııııııııııııı,Racism;
ıııııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııııııı ıııııııııııııı ıııııııııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııııııı,Misogyny;
ıııııııııı ıııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııı ıııııııııııııııııı ıııııı ıııııı ıııııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııııııı ıııııııııı ıııııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııı ıııııııı ıııııııı ıııııııııııııı ıııııı ıııııııııı ıııııııııııııı ıııııı ıııııı ıııııııı ıııııı ıııııııı ıııııı ıııııı,Verbal abuse;
ıııııııı ıııııııııııııı ıııı ıııııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııı ıııııııı ıııııııııııı ıııııı,Verbal abuse;
ıııı ıııııııı ıııııııııı ıııııı ıııııııııı ıııı ıııııı ıııııııııııı ıııııııııı ıııııı ıııııııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııı ıııııı ıııııııııııı ıııııııııııı ıııııııı ıııııı ıııııııııı ıııııııııııı ıııııııı ıııııııı ıııııııı ıııııı ıııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııı ıııııııı ıııı ıııııı ıııııııı ıııııııı ıııııı ıııııııııı ıııı ıııııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııııııııııı ıııııııııı ıııııı ıııııııı ıııııııııı,not offensive;
ıııııı ıııııııı ıııı ıııııııııı ıııııııı ıııııııı ıııııı ıııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııı ıııııııı,Verbal abuse;
ıııııı ıııııııııııııııı ıııııııııı ıııııı ıııııııııııı ıııııııııı ıııııııı ıııııı ıııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııı ıııı ıııııııı ıııııııııııııı ıııııı ıııııı ıııııııııııııı,not offensive;
ıııııııı ıııııııı ıııııııııı ıııııııı ıııııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııı ıııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııı ıııııı ıııııııııııııı ıııııııııııııııı ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııııııı ıııııı ıııııııııııııııııı ıııı ıııııııı ıııııııııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııı ıııııı ıııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııı ıııııııııııııııı ıııııııı ıııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııı ıııııııı ıııııııııııı ıııııııııı ıııııııı ıııııı,Verbal abuse;
ıııııı ıııııııııı ıııııı ıııııııııı ıııııııııı ıııııı ıııııııııı ıııııı ıııııı ıııııııııı ıııııı ıııııı ıııııııııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııııı ıııııı ıııııııııııı ıııııı ıııııııı ıııııııııı ıııııııııı ıııııı ıııııııııı ıııııı ıııııı,religion_off;
ıııııııı ıııııııı ıııııııııı ıııııııı ıııııııııııııı ıııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııııııı ıııııııııı ıııııııı ıııııı ıııııııııııııı ıııı ıııııııı ıııııııııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııııı ıııııııııııııııı,Verbal abuse;
ıııııııı ıııı ıııııııı ıııııııı ıııııııııııııı ıııııııııııı ıııııııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııı,not offensive;
ıııııııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııııııııııııııııııı ıııııııııı ıııııııııııı ıııııııııı ıııııııııı ıııııııııııııı,not offensive;
ıııııııııı ıııııı ıııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııı ıııııı ıııııı,not offensive;
ıııııııııı ıııııııııı ıııııııı ıııııııııııııııı ıııııııııı ıııııı ıııııııııııııı,not offensive;
ıııııııı ıııııııııııı ıııııııııı ıııııııııı ıııııııııı ıııııı ıııııııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııı ıııııııı ıııııı ıııııııı ıııııııııı ıııııııııııı ıııııı ıııııı ıııııııııııı ıııııııııııııı ıııııııııııııı ıııııııı ıııııııııııııı,Racism;
ıııııı ıııııııı ıııııııııııııı ıııııııı ıııııı ıııııı ıııııııııııııı ıııııııı ıııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııı ıııııııııı ıııııııı ıııııııı ıııııııııııııı ıııııı ıııııı ıııııııııııı,not offensive;
ıııı ıııııııııııı,Verbal abuse;
ıııııııııııııı ıııııı ıııııııııııııı ıııııııııııı ıııııııııı ıııııı ıııııı ıııııııı ıııııııı ıııııı ıııııııııı ıııııı ıııııııııııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııııııı ıııııııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııı ıııııııı ıııııııı ıııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııııı ıııııııııııı ıııııııııııııı,Verbal abuse;
ıııı ıııııı ıııııııı ıııııı ıııııı ıııııııııı ıııııııııııııııı ıııııııııııııı ıııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııı ıııııııııııııı ıııııııı ıııııııı ıııııııııı ıııı ıııııııı ıııııııııııııı,Verbal abuse;
ıııııı ıııııııııı ıııııııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııı ıııııııı,Verbal abuse;
ıııııııı ıııııı ıııııııı ıııııııııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııı ıııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııı ıııııııııı ıııı ıııııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııı,not offensive;
ıııııııı ıııııııııı ıııııııı ıııııııı ıııııııııııı ıııııı ıııııııııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııı,not offensive;
ıııııııııı ıııııııı ıııııııı,not offensive;
ıııııııııı ıııııııııııı ıııııııı ıııııııııı ıııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııı,Racism;
ıııııı ıııııı ıııııııı ıııııııııııı ıııı ıııııııı ıııı ıııı ıııııı ıııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııııı,Verbal abuse;
ıııı ıııııııııı ıııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııııı ıııııııı ıııııı,Verbal abuse;
ıııııııı ıııııı ıııı ıııııııııı ıııııııııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııııııı ıııııııııııııı,Verbal abuse;
ıııııııı ıııııııı ıııııııııııı,not offensive;
ıııııııııı ıııııı ıııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııııı ıııııııı ıııııı ıııııı ıııııııı,Verbal abuse;
ıııı ıııııııı ıııııııııı ıııııı ıııııııııı ıııııııııı ıııııı,Verbal abuse;
ıııııı ıııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı ıııııııı,Verbal abuse;
ıııııııııııı ıııı ıııııııııııı ıııııııı ıııııııı ıııııııııı ıııııııııı,not offensive;
ıııııııııııı ıııııııı ıııııııııııııııı ıııııııııı,Verbal abuse;
ıııııııı ıııııııııı ıııııı ıııııı ıııııııı ıııııııı ıııııı ıııııııııııııı ıııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııııııııı ıııııııııı,Verbal abuse;
ıııııııııı ıııııııııı ıııııııı ıııııı ıııııııııı ıııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııııııııı ıııııııııı ıııııııı ıııııı,Racism;
