text,label
جبران باسيل وعمه جنرال اسراءيل سابقا العماد ميشال عون يمثلون سياسه الزباله قدمها سيدهم نصراللات طبقا الخياسه,Verbal abuse
بعرف بدي خبركن ياها انو واطي طلع عرص,Verbal abuse
شو بتلبقلك كلمه خنزير بتجي مفصله قياسك وشكلك,Verbal abuse
جوليت چوليت بني ادم براس بهيمه,Misogyny
زلمه كميه القرف باخبار جبهه الخرا وفتح الشوءسمو بيقرفوا حسو حالهم اديش حمير ومتخلفين القرون الوسطي وانو خربو عحالهم وعغيرهم,Racism
وليه روح عملك شي شغلي تفيدك احسن تجن بتحليلك لحديث السيد كبير هبيله,Verbal abuse
كلب انت كلب مجوسي تحكي الانسانيه,Verbal abuse
العاهره متلك بتدعي العفه والحرامي بيحلف بالبراءه,Misogyny
مش اخوان لزج زيهم,not offensive
ولك سقفك زغرتا فهام بقا بتدعس برا زغرتا ببزقوا العالم بتسمع كلمه خاين,Verbal abuse
خراس تشوش,not offensive
الزعامه والتجربه بدن يكونوا اصحابها رجال مش صيصان خسءت جبران باسيل,Verbal abuse
انت كلب واطي اخلاق مجرم توام بشار الاسد كلب منحط درزي شركسي ارحل نرحلك الي جهنم وليد حزا,Verbal abuse
وانتي كمان خرسي,not offensive
بهيم الشاعر عم يحكي سوريا الارض مش نظام سفاح قاتل ونقطه السطر,Verbal abuse
كمان خطر عبالي سءال لحضرتك وين صارت صرمايتك قصدي المحكمه الدوليه,Verbal abuse
يستهبل اهبل جد,not offensive
قنبله ذزيه يروحو الاثنين معا افضل حل,Verbal abuse
العما بقلبك اتقل دمك اسقلك,Verbal abuse
يلعن الاسد,Verbal abuse
دوله بتحترم نفسها كنت انت اول بالسجن عميل قاتل مفتن خاين ماريونيت,Verbal abuse
يابنت لجنوب انت اول وحده اسراءيل وضد المقاومه فهمتك مفصومه ايمتي شرف والوطنيه لدبو عليكي فجاه شفت احقر منك,Racism
اكبر راس ببلدك دسنا راسو جاي انت ضيعجي تكبر راس,Verbal abuse
فيصل الجحش انت درزي كلب وبدك تحكي بالدين الاسلامي فشرت فيصل الجحش تتكلم باسم الدين الاسلامي,Verbal abuse
كول هوا صرمايه السيد تاج راسك وراس رءساء العرب الانذال المتخاذلين ولك السيد انت كنت,Racism
مين قلك ناسر بيي ومين قلك تفجر بيتي ومين قلك انه عم باخد رايك بالاساس كول هوا وقحط صفحتي وبدل تتكامخ,Verbal abuse
تقلد كلامي غبي,Verbal abuse
يلعن روحك حافظ,Verbal abuse
عيبو عليكي ايران عم تحوي ارهابيين تعلمي السعوديه درسيهم عندك وبعتيهم لبرا,religion_off
يلعن اقرفك,Verbal abuse
حدا قلك كول هوا اذا انا اول يقلك هوا,Verbal abuse
سليمان فرنجيه عباره كلب مسعور لديه حاسه شم قويه جدا شم ريحه كرسي الرءاسه ولكنه يجلس عليها ابدا وتصبحو خير,Verbal abuse
صحيح اي شك الدروز كلاب خونه,Verbal abuse
عمرو اديب يمسح بالطفل المعجزه جبران باسيل الارض ويخلي الي مايشتري يتفرج,not offensive
حدا غيرك امير الارهاب والمجرم السفاح طز بهيك بلد امتالك حمار,religion_off
رواءع التسديد بنص وجه الخنزير,Verbal abuse
انت بتضب لسانك احسن نقبعو شلوشو شليش طز فيك بشار قاتل الاطفال,Verbal abuse
بجد كلامك صحيح وانت اول الكلاب طبعا الكلاب كثرت الزمن اكيد,Verbal abuse
خلص كول هوا العمي بقلبك شو حاقد وسخ الله يحشرك يزيد اللي علمك هالحقد,Verbal abuse
يللي عم قوله نوع التهكم بهله شو بدي اعمل اذا راسك محدود,not offensive
صدقتي ديما للاسف اللبنانيين اكثر تخلفا وعنصريه,Racism
لبناني مشرد اي بلد يدخله للبناني ينشر الفساد والرشوه,Racism
فرق ولد يهودي مات جريمه ومشفي انقصف ومات زلمه جريمه حرب فرق تعفيش عفرين اكل خري وبراميل متفجره وكيماوي جراءم حرب ضد الانسانيه,Racism
زين ملفك تختلف عنه بالصفه فقط فهو اامير وانت مرتزق وكلاكما كشهاب الدين واخيه,Racism
بعدان مينك انت نكره بدون اسم وصوره يصير عندك اسم منبقي منحكي روح انقبر,Verbal abuse
اكيد الخدم بيوقفوا برا شان هيك شفنا حدا جماعتك,not offensive
عشانك حماره,Misogyny
كول هوا ولاك درزي الكلب,Verbal abuse
دخلك انت بتعرف معلمك باي مجرور مجارير الضاحيه مخبي خراس,Verbal abuse
انت وديع خليك ساكت احسن تاكل نصيبك حدا بسكتنا الي بيغلط مندعسو,Verbal abuse
المصيبه ان الشخص بعثي بمذاق اخواني قطري يخرب بيتك عفلق الاشكال الي تركتها,Racism
خاءن وعميل بلدي روح فوت بطيزه لبشار وريحنا منك,Verbal abuse
وانت صغير فتنجي,Verbal abuse
ناقص وحد كلب متلك ينقر عا حزب لله عندك ضره كرامي وشرف كنت اليوم الشهداء ماجور متلك مصيرو اخر شي موته كلاب,Verbal abuse
بنقول يلعن روحك بشار بتطلع عاهات بتقول ادعو لولي الامر تكن فحاشا يلعن روحك بشار روح ابوك,Verbal abuse
يعني انت اهبل مصدق حالك,Verbal abuse
كذاب ومنافق الريال القطري القذر وصل لحسابك,Racism
قللو حمار انا بتفرج حمار معبي ببنطلون,Verbal abuse
الصواريخ وماصار عنا شي اعرف ياحمار الله معنا انتو مين معكن كلاب السعوديه سلمان لبغل باع شرفوا انصحك بدراسه التاريخ,Racism
انت حمار باللغه العربيه,Verbal abuse
بيسي بيسي ناو قومي خراس بقا,Verbal abuse
جد وقح,Verbal abuse
قدح وجم تفه وعلي برنامجك وعلي المحطه عم تعرضلك,Verbal abuse
كول خراااااا,Verbal abuse
روح انتحر كب حالك بالبحر اطهر ارض انجس قوم,Verbal abuse
وهذا ردا شعرك وشعرك اصلع وزارع الشعر المستعار,Verbal abuse
اختي الكريمه واضح اذا انت امراه حماره,Misogyny
سكتي وليك شرنه هاد جوزي بدنا نضل بسوريا ونطهرا الجراثيم,Misogyny
ضب زعرانك حسون لقدهرمت زت حالك شيء نفق ياكزااااااااب,Verbal abuse
انعل ابوكم ابو جيش اسراءيل كلاب كلكم,Racism
قصدو الاوباش بيشبهو رجا الزهيري ولي شاكلتو عمل ناءب معو مسلحين بيفتحو جبهه وسكروا الطريق لينزل حضرتو واطلقوا النار العالم فكيف ليعمل ناءب عم تحكي منطلق طاءفي بدعي سني وبش تعبيرك يصوت لمعاليك بقضاء الشو,Verbal abuse
وءام وهاب الطاءفي سبق ووصف المراه السعوديه بشوال الفحم للاسف الامارات,Misogyny
عاجل شرموط مجرم حرب يزور شرموط مجرم حرب تاني متله,Verbal abuse
كول هوا وكفنا شرك احسن منفرجيك بشروط مين منمشي لبنان وعملا اسراءيل لمتلك,Racism
صه طبل حنجيبك,Verbal abuse
سكر نيعك حقير عميل رخيص طبل,Verbal abuse
كول هوا عرص,Verbal abuse
اللي عنده كلبه يبي يزوجها للكلب يرسلي عالخاص,Misogyny
وعندك مذيعه الاخبار يللي اليوم معيره شفافا بالطرمبه ولازم مكسيموم,Verbal abuse
فيك تعتقد متل بدك المعروف وكل العالم بتعرفو انو سعد هبيله اوليتو,not offensive
اذا كانت الجرعه الزاءده اعطيت بهدف انه يتعذب المنشار يجب ان يعطوهم جاءزه نوبل للقتل الرحيم والله اعلم طشم,Verbal abuse
مدام جبران باسيل سرق عمر بالمصاري قصر بمعراب استحي عيب الشوم شعب البومه,Verbal abuse
انت عنجد مريض نفسيا قعود ساكت شوي العقاب لوهاب وهاب قاتل ابو دياب,Verbal abuse
اه هبيله,Misogyny
البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا,not offensive
يلعن عرضك شو منافق بيار صوهيوشيوعي,Racism
روحي انقبري انشغلي بشي عمستوي تفكيرك الخرا وتركينا تنظيراتك وفلسفتك تدخلي فينا ويلا عالمطبخ,Misogyny
مضيفا بزماننا عنا مجنقات بخاريه قال بدهن الكترونيه قال حاج اكل خرا,Verbal abuse
كول هوا واسكت نباحك ازعجنا,Verbal abuse
اديش عثمان داعس راسك وهاب المنافق حال عثمان الكسبان اذا كنت تكره فهو عقلك وان كنت,Verbal abuse
انتا فلسطيني شو دخلك يازنخ ملكوف بالخليج جاحد وطنك مرتزقك كلب,Verbal abuse
رح تضلك تعووي نبح لتشبع رص تضل صرمايه الشيخ سعد الحريري حثاله متلك لازم تندعس لكنك,Verbal abuse
ماحدا حمار غيرك وغير ملكك بغل ابن الستين صرمايه جايي ورا الابل والغنم وبدك تحكي خراس وسد تمك احسن مادعس رقبتك يلعن شرفك,Verbal abuse
خاءن ستبقي خاءن,Verbal abuse
الي ساعه عم جرب اكتب تويت حكي باسيل عم يطلع بلا مسبات خصوصي شفت اللحيسه البلا شرف بلشو يطبلو,not offensive
انت اجدب عم تجدبا اجدب ازبط اول شي لانك فلاح وابن ضيعه تاني شي فشرت,Verbal abuse
لكا بالمرصاد الجبل قمه النضال وانتا غريب عنا انت مرتزقه لايران الدروز احرار ان جهلت التاريخ عبد علي المملوك,not offensive
اكيد اكبر بكتير قدام العاهرات,Verbal abuse
انت اخنزر الخنزير واوسخ الوساخه حثاله امعه جعر نتن,Verbal abuse
اساس الجحش بشار قمه الاخلاق والايمان خراي شرفك وشرفو,Verbal abuse
لهلهله كلب الامريكان عم تشتم الاستاذ بسام,Verbal abuse
وهاب الجحش ماع ماع ماع,Verbal abuse
انتي مسخره بشرفي,Verbal abuse
هنن هالبهايم اكتر مخلوقات بيستعملوا التكنولوجيا مشان يقنعوا حالهن انهن بشر,Verbal abuse
انت معلمك اول اعداء سوريا بغل حيوان روح شوف شوارع حمص يلي قصفتوها اعداء الشعب السوري يلعن شرفكن كلاب,Verbal abuse
انت وذميم كلكم الزباله,Verbal abuse
انت اول واخر عاهر وبوق ارهابي للمجرم بشار ورءيس عصابه ولي الفقيه انت احقر انسان واتفه بشر خرااا علي ابو,religion_off
يمكن افضل لابنك يروح الحضانه انه يتعلم يصير حمار متل امه,Verbal abuse
كول خري ياكلب مختوم طيزك كلب للايجار سد نيعك يامزبله ووقت بدك تجيب سيره الشيخ سعد نيعك بالديتول,Verbal abuse
انتي شو دورك بحزب الصرامي مسءوله الشفايف,Verbal abuse
دوله راءعه نحنا عرصات,Verbal abuse
نديم لطيش ماريا معلوف البقره الضا,Verbal abuse
نتمني فخامه الرءيس متابعه القضيه عماد عثمان مجرم,not offensive
بيكون شعب سخيف متلك بيهوج بنفس وقت هجوم الامبرياليه فلازم يندعسو سخيفه لدرجه التفاهه,not offensive
جلدوك جلد قصروا ولله لاجء,Verbal abuse
انت وين امك,not offensive
جبران باسيل عميل لاسراءيل رعايه حزب الزباله,not offensive
لمين الاهلا وسهلا لبشار الاسد عيب الشوم انت عميل صغير وراح بتضل عميل وصغير,Verbal abuse
لانكم استاذ انت تمثل فكر همجي ودموي تفهموا الا لغه الحروب والدماء والخراب انتم وثقافتك,Racism
هوا وعلي الالوان نحنا عنا لون برتقالي غصبا عنك ابن الكلب,Verbal abuse
بتعرف شو الفرق الحر وبين الماجور انت بوق للنظام,not offensive
شو حيوانه,Verbal abuse
فلسطيني كلب الفدافي ولعلكم صوابع شمع ولم يتمر فيكم تفو عليكم وعل اليهود جنس,Verbal abuse
انك قذر وواطي اوافقك الراي,Verbal abuse
خليك ببرميل الزباله وهيدا بلوك هههه,Verbal abuse
صامت جاموسه حامل مقمله مجروحه ببطنها الجرح متقيح محشي ذباب خنافس عناكب صراصير نمل احمر عضاض بق جاقمو الجوع,Verbal abuse
سخيفه وبجم تدمر بلدكم واساكم تعبدوا اسيادكم,Verbal abuse
حل طيز طيزي هلا بدك تزاود السوريين بڤيتنام طيزي وفوقها السوري يتعامل امريكا واسراءيل بيتعامل معهن عاهه الاسد ضل قاعد بالسلطه,Verbal abuse
دمر سوريا المجرم القذر بشار الاسد لسبيا دمرها معمر,Verbal abuse
تضرب منك لحزب اللات عمللء ياطشم,Verbal abuse
بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو,Verbal abuse
بطلي علاك,not offensive
صفات ابليس لعنه الله موجوده فيك العقاب لوهاب وهاب قاتل ابو دياب,not offensive
التلك اخرس خراس,not offensive
ناطره ياخدوك عسجن روميه كرمال يقصولك شعراتك المزروعين قرد الجاهليه,Racism
انت كون زلمي بالاول او رجال او شي نوع جنس ادام تتخبا بحساب وهمي رجاع تعا بهور وقلل اخلاق,Verbal abuse
شي بيهوي هيك بهايم,Verbal abuse
فعلا نطقك وشكلك مقزز جدا,Verbal abuse
يعني انت شو بتفرق العميل فرق تكون قاءد وعندك عملاء وبين تكون طرطور وطبل مفقوع مشغلينك,Verbal abuse
قليل بحقه الحذاء,not offensive
فاريس كول هوا وريح حالك الهبل وروح جرب فهام رجاع حضار حلقه مبارح واذا بدك لان كانت,Verbal abuse
او حمار يشنهق فيك تقتلن خليهن هيك,Verbal abuse
ليك كلب بتسد بوزك وحدك احسن نسيك اسمك واطي,Verbal abuse
مستهبل لف لفيفها بصوت الحق جبران باسيل,not offensive
لابارك الله وبامثالك ياهذا,Verbal abuse
كلكم الهوي سوا كلب بشار وانت كلب اردوغان باع سوريا وانت بعت سوريا اردوغان الكلب,Verbal abuse
استحي صعلوك قليل شرف انصحك تتعلم اللغه العربيه وتترك العبريه لتحسن فهمك غبي,Racism
جحاشه الاخ البلوشي ومعلوماته الخاطءه تماما الاشوريين والكلدان,Verbal abuse
القزم جبران باسيل طلع فانز يدافعون عنه,Racism
طز فرنسا اوفكورس,Verbal abuse
كول هوا كول ضحكت علينا اليهود هههههههه ينعن عرضك شو ضحكت,Verbal abuse
صدق الوءام لان الكتله السياسيه تقود اليوم قاطره العهر السياسي تتواني هتك المسلمات وتجاوز,Verbal abuse
تنزل تغريده بتكون حتجن هبيله,not offensive
شكل السهره وزير خارجيه لبنان الكلب جبران باسيل كانت حمراء بالحيل واحتمال ارسلووو شريط الفيديو,Verbal abuse
سارد بلهجتي كول هوا ولاك الكلب الاجرب النعال اللي تم رميه اطهر منك عبد الدرهم,Verbal abuse
انت حمار عم تستحمر,Verbal abuse
نتمني انك تخرس خالص,Verbal abuse
قمه الوقاحه عندما تحاصر العاهره العفه,Verbal abuse
حاطين جبران باسيل وقاعدين جبران قال هيك جبران حكي هيك روح بهيم شوف زعيمك ناهب البلد سنه وبعدو,not offensive
حمار معبا ببنطلون,Verbal abuse
كول خرا عقبالك تجيك صرمايي بخلقتك,Verbal abuse
كول هوا نبباح,Verbal abuse
زلمه كلهن هيك بالسعوديه طشم,Verbal abuse
مش قاصدك انت خراس,not offensive
عندما يقال شحاذ يظهر باسيل جبران,not offensive
العما بعيون عيونك شو انك حيوان وبهيم وعديم الاحساس العما جحش لسه تنبح وتغرد بتاكل ميه بهدله والف مسبه روح انطم بقي وحط صرمايه بحلقك وحاجتك اكل خر يلعنك ويلعن معلمك الحيوان بشار المماتع قال دكتور مناضل قال اتفووووووو شرفك وشرفه اذا عندكم شرف,Verbal abuse
تحملنا كلب علوي نجس سنه وسكتنا مجازر ابوه بحماه سنه وبس اجا حدا عم يضرب ويوجع ماتحملناهم يومين خف علينا ياملك الديمقراطيه,Verbal abuse
عملتو ممسحه وكبتو,not offensive
بيساهل ابن زانيه صباحك نور استاذنا,Verbal abuse
الوزير جبران باسيل تاج راسك جربان ممنوع اليوم المساس بمقدساتنا ربنا والهنا يسوع المسيح,Verbal abuse
ايتها النصرانيه البشعه القبيحه فاقده الانوثه والجمال والاخلاق انتي مصابه بداء جنون العظمه تظنين يفهم الاعلام انتي وتظنين يوجد قناه خنزيرتك وبامكان خنزيرتك هز الدول واستقرارها شو قالولك بلدك لبنان مغتصب ايران عبر حزب الله بشعه,Racism
الله وءام زفت يشتم امير قطر الحين قبلها يمدح يقول منافق الله انت المنافق,Verbal abuse
سمعوا لهل الشوفه والله شوفوا لهل السمعه عاهره تحاضر بالشرف,Verbal abuse
بفتكر انت بتتقن المكر والعهر,Verbal abuse
ذميم جاء مرغما بناء طلب اسياده طهران والضاحيه كلب مرسله كلب ومستقبله كلب,Verbal abuse
لاول مره اتفق معك بحظور البهيم تميم لبنان زادت الزباله كيس زباله,Verbal abuse
شرطي روسي ابن الستين كلب,Verbal abuse
طرش غنم منعدمه عندون القدره التفكير اجترار الخطاب الممانعجي المعفن,Verbal abuse
الله وين بروح بياخد الخراب معو شو هالبومه هيدا ولك شو هالغراب انشالله يهرب عالسفاره يبعتوا عاسراءيل يستلم وزار,Verbal abuse
الحريمه بتضل حريمه,not offensive
روح كب حالك بالزباله ولك انت مابتنقبل بتدوير النفايات ولك ياجحش الرءيس عنا مقدس انت شو حشر انفك مشتاق لشي بوط عسكري ولك حيوان,Verbal abuse
للخروف عون,Verbal abuse
شعوب مرتزقه يحل المال تركضون وراءه حساب شرفكم,Racism
طز وعلي معلمك احمق البيت الابيض,Verbal abuse
قهرني الله يقهره,not offensive
ههههههههههه هبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم,religion_off
كيتا يازنجي ياحمار تفوو,Racism
صباتو بيسوي نعيم حسن تبعك منيح تقل لاتقلك تكرم,not offensive
حكام العرب احقر بعضهم مامور وبعضهم شحاد متسول,Verbal abuse
عزيزي وءام وهاب ايه رفعت الكلفه لان حتي كلمه استاذ كبيره انت اكبر منافق اكبر جبان,Verbal abuse
صحيح انك هبله,Verbal abuse
لبنان شامخ بعروبتو باخواتو العرب الفرس جلبو للبنان الي الدمار لعنكم الله ايها الفرس المجوس,Verbal abuse
انتي وءام وهاب والصرامي متعودين لغه الصرمايه السوريه لحيسه,Verbal abuse
فكره رجلي بالدكتاتور اردوغان سبتويت,not offensive
اقول اكل تبن لوليا,not offensive
فيصل كرامي كلو كرامه انتا شقفه زعطوط كلب السعوديه الاسراءيليه تنقبر ترمي صفاتك عا شخص صرمايتو اشرف راسك راس معلمك,Verbal abuse
تركيا احقر يكون مشروع ينفذ مشروع غربي مسيحي خبيث كخبث دينهم,Verbal abuse
مكيف النهيق تبعه اموي شو بده يطلع,Verbal abuse
زلمي بشرفك اقرا التعليقات الناس قرفتك فرد نغمه غير,Verbal abuse
نعيما دندن انت ومعلمك بتوصلوا لصباط جبران باسيل,not offensive
خلص خراس,not offensive
نص البلد رايي سخيفه,not offensive
خليك كلبك واترك البلد ناقصو فتن,Verbal abuse
منحبك جحشنا,Verbal abuse
الله يعطيك العافيه شو لسانك بيسبك تفكيرك سكوت زلمي,not offensive
وصار تكتب شعر هتيله,not offensive
اول مره بشوف وقاحه متل هالنوع شفلي شي دوله عندا ذره كرامي بتقبل انو كلب سياسي متل اشرف ريفي يدافع الارهابيي,religion_off
اي وطنيه لص اعد عم تنهب اموال البلد بحجه انك وطني بلا شرف,Verbal abuse
اتصالات سكليه سحليه انو شو بنفهم منك فهمانه طويله رقبتك,not offensive
قطر الارهاب,religion_off
خلص هبله قطر عمرت اربع ضيع الجنوب ايران عمرت الباقي البقاع والضاحيه,not offensive
بحب ذكرك هبيله حلفاءك فوتوه علعراق ونهبوه ذاتن فريقك الممانعه والامريكان والصهيانه,not offensive
جبران باسيل كارولين صرنا معودين الخوزءه امير قطر كارلوس سليم اغني رجل بالعالم مسحنا صب,not offensive
يحرق عرضك روحي عالمطبخ فضحتي لدنيا وانت وهبلك,Verbal abuse
كول هوا خسرتو بارضك وبين جمهورك منعت القطريين تشجيع جمهورهم انتو فاشلين شء وهم متفوقين عليكم,Verbal abuse
عمرنا ماتدخلنا بغيرنا ابعدوا كلابكم عنا والمنشار نحطه ذنبك ياذنب انت يحميك,not offensive
شو عملت وشو حكيت عويت ونبحت وجعرت ونزلك قرق حدا رح يرد,not offensive
الكل بيرشق هالسياسيين العرب بالسرامي بكون شي كتير منيح الاقل بيعرفوا قيمتهم الشعوب,not offensive
ابيخك ولوووووووه,Verbal abuse
يوما وقريب جدا سنراك السجن شبيح سوري قيمه,not offensive
انقبر اطلع الصفحه عميل,Verbal abuse
ميشال عون عون صهرو الهبيله جبران باسيل باسو صرمايه تميم كرمال تشتري قطر سندات لبنانيه لبنان دوله شحاده رسميا,Verbal abuse
لنك رخيص,Verbal abuse
عقبال تموت بالشءسمو بطيزك متل ابوك,Verbal abuse
كول هوا احلي شي,not offensive
وحياه عشك,not offensive
قبيحه منظر ومخبر,Misogyny
عم تحكي حالك خرا,Verbal abuse
خد حبه ساعات يمكن يعدل مخك التافه,not offensive
اخزاك الله كنا مخدوعين فيك او انك افدغ مصحوك تمدح كلب ايران وحزب اللات القذر,Verbal abuse
قطر اختلفت المحيط العربي لانو تحالفت حليفك الخامنءي حليف حليفك يعني حليفك سياستكن شياطين بعرف,Verbal abuse
المسخ البشري,not offensive
كول هوا مك ام فالفيردي,not offensive
حدا مجنون ومجرم الا انت غيرك,Verbal abuse
خراس جاهل حشره,Verbal abuse
طيب رد عليها وبلا اكل خري,Verbal abuse
الدوله تحترم نفسها انت يالبلطجي السجن,Verbal abuse
فيصل الزفت القاسم,Verbal abuse
انت درزي كلب فيصل زباله القاسم موضوع علاقه واطي قذر عميل مشرد كلب الدروز النباح كول البياره اللي انت قفل نيعك كلب,Verbal abuse
كول هوا ابو وجهك,not offensive
قلنا تميم البرغوثي اخونجي سافل احذروه نطو اشقاءنا المصريين وقالو لااااااع ده شاعر وقومجي طيب يلعن بيك القومجيه والقومجيين,Verbal abuse
وءام زرع شعر شالو طيزو زرعن براسو وقتا ضاعت لبوصله يتدشا خرا,Verbal abuse
مين انت يعني عم تهدد انقبر احترم حالك نكره,Verbal abuse
وزيركم مخرف,Verbal abuse
ضيعان الفهم دكتور,not offensive
انتا كول هوا خصك بسوريا انت خلص بالسترات با واطي,Verbal abuse
وءام وهاب الطاءفي سبق ووصف المراه السعوديه بشوال الفحم للاسف الامارات نعد,Misogyny
رءيس روحي تروح روحك انت وكل مين شد عمشدك مش تنعترف بدار خلده واميرها الصغير بالاول قلبه,not offensive
منحطه بلا اخلاق,Verbal abuse
فهمه لهالحيوان باسيل,Verbal abuse
بقلك الي جهنم بدك تروح لعندو العمي بقلبكم,Verbal abuse
طب خود هالكلمتين كول هوا,not offensive
ناقص مين متخلف انت ليه انقص منكن انحبستوا انذليتوا بعدكن بتعووا بن سلمان,Verbal abuse
كول هوا انت يلعن زايدك وسلمانك,Verbal abuse
عماد عثمان قاهر ابواق النظام السوري ولما وءام الحمار يحكي,Verbal abuse
تحيه قلب فلسطين الي قطر والي اميرها الشيخ تميم وليخسا قتله الاطفال الشام,Verbal abuse
ياخي الولاد الصغار عمر تلات سنين بدهم حرق يطلعوا معك بباص بقرفوا,Verbal abuse
العمي شو سنتين ليقبضوك لحتي تغردي هلا,not offensive
اذا عاجبينك شفافي تعا خدلك بزقه منن بلكي بتزورك البركه حزومي,Verbal abuse
عباس نوري قرباطي اعرف اباك اعمل ال ان اي حفيد السستالني,not offensive
انت جد قابض حالك جد ومفكر حالك متفهم بالسياسه ماءجور وبتحكي معلمينك بقلولك هبيله,not offensive
كسار راس المرتزقه شذاذ الافاق,not offensive
صبح ربك او الاوامر جاي بكير لتجعدن ماحده شيطان اكتر منك,Verbal abuse
طعمرك هيدا استفراغ هيدا شعر,Verbal abuse
شو النوع يلي ضاربو ههههههههههه,not offensive
تاكل زق تنطم صالونه,Verbal abuse
يعلن الاسد وكل لاعقي الاحذيه,Verbal abuse
عشان مفيش مدرب خراس مرمي فاهم,Verbal abuse
كول هوا صارو,not offensive
بتحط صوره بتقول السوري يضب غراضه ويرحل وبعدين بتقول ضروره لتغذيه الحقد انتي حماره عم تستحمري,Verbal abuse
ولاد الحرام كابلات الكهرباء الارض نابشينها ومعفشينها ورايحين يشحدوا الاونروا مصاري,Verbal abuse
ضو كول هوا,not offensive
فشر برقبته جبران باسيل,not offensive
هذول نفسهم بيحبوا الاسد ومعتقلين ان الثوره السوريه مءامره ويءيدون قصف المدنيين بصراحه ازبل اليمين,Verbal abuse
هيدي اول كلب تفهم قرار السعودي لانو بلا كرامي معود الشحادي,Verbal abuse
ولك كول هوا يازلمه,not offensive
جبران باسيل يقل عماله حسن نصرالله,not offensive
