  إنت وحدة بلا أخلاق وبلا أدبعم تتمسخري على رئيس الجمهورية عندو ولاد قد بييك وإمك تقبلي حدن يتمسخر على… :///,misogyny
  انا ضد الاسفاف والتناول الشخصي وضد فائض القوه وعدم سماع مطالب الناسووجعها والرد على الغضب بالعنف والقوه وصم الاذان ,none
نانسي السبع من ساحة رياض الصلح: اشكال يحصل الآن علما انه لم يأت احد على ذكر الامين العام لحزب الله وهناك كلام على ان هذا الامر محضر,none
  ولي الله يلعن لي قال لأمك مبارك ما اجاكي��‍♀️��‍♀️,misogyny
  ما ابشعك,misogyny
     انتبهي فقد عاد المسعورين,none
     ما خصنا هول رفقاتك �,none
    مناطق غالبيه مسلمه ليست شيعيه ولا دين آخر  فلم يسمحوا لهم بالتعبير عن رأيهم؟,none
  ما اذكاكي اووووووف بتعرفي بالمونتاج واااااو شو خل الثقافي مش شعر بدنا  طيب خلص يلا رجعي على الخسة,misogyny
  خلص ما تزعلي انت ايقونة الثورة�,none
      خلينالك لهضامي إلك ولثورة,none
  لا تكون طريق امك ومش عارفين ابديش زفر,none
    يبعتلك قص لسانك بلا اخلاق,misogyny
  اللهم انصر الشعب اللبناني ؤالله يحي اللبنان العطيم***,none
      يا بلا أخلاق العونيين دافعوا عنا الإعتداء من شخص واحد بس انت بلا ضمير بتعممي ��,misogyny
  انتي سخيفة وحاقدة وكتلة من العقد  ربما لانؤيد سكوت النائب حسن في هذا الموضوع ولكن الى الان لم تأتي على سيرة احد من الفاسدين,misogyny
    انتقدته فقاموا عليها  يقولون هو ليس مشارك مع الاحزاب اللي ضيعت البلد بالوقت اللي هو اصل البلا كله,none
  صباطو اشرف منك ���,misogyny
  عقبال ما يتعبط فيكي قد هيدا على مية مرة و يجعلكك و ما تعرفي راسك من كعب إجريكي  ديما الواطية,misogyny
    السيد حسن نصرالله يا حقيرة,misogyny
      و انتي وقحة و وحقيرة و بتسوي صرماية لو مش عارفة هيدا زوجها للواطية  فكرتك عالم طلعتي طرطورة,misogyny
  انشالله بيقبر قلبك قريبا,misogyny
    ما خص امها ، نحنا الشعب المحترم مش متلها   هيي كل شي ممنوع بس عالتيار وحزب الله مسموح ومكتر   فشرت نكون متلها��‍♀️,none
  صحيح انك ديما الواطية,misogyny
    الله يلعنك بلا شرف,misogyny
      الله يرحم البطن يلي حملك,none
  سلامة قلبك   كللن يعني كللن و انت اشرف منن  مبارح    و اليوم انت لأنكن اقوى من ايا شي❤… :///,none
  حدا يبهدلها عني أنا اكتفيت  حأستفرغ من وجودي على صفحتها   ديما الواطية,misogyny
      كتير منيح، صارو يعرفو الناس القوادم ليش في ناس عمتسب فيها للآدمية فعلا أذكياء ���,none
  معليه روحي عند يلي بيشبهوكي مين مانعك ، اسرائيل و امريكا فاتحة احضانها لامثالك روحي لعندهم ، و اذا بدك ب… :///,none
  انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم ديما الواطية,misogyny
  طبشوكي الصباط على عينك بتعرفي ليشششش؟؟؟؟ عشان شفتي النمرة ��,misogyny
      الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,none
  انت قدن كلن واشرف واصدق منهم  ديما كلنا منحبك ,none
  وانت تركي السفارات,none
  رح تموتي قد مافي جواتك سم,misogyny
  بشكر الله إلي جيلي ما كان واعي ع هيك فخامة,none
  نصرالله تاج راسنا والشمس طالعة رالناس قاشعة مين هو الفاسد مش ناطر وحدة فاسدة ومرتزقة مثلك تنعتوا بالفساد   وحدة غبية روحي انضبي,misogyny
  السيد اشرف رجل في العالم كلو اما الباقيين ماخصني فيهم شيلو السيد من هالمعادلة,none
      كلك زوق,none
        ديما الوضيعة  ديما الساروت   ديما الكذابة,misogyny
  الساعات الاخيرة لامثاليك  ولله ليوصل عواكي لقبرص,misogyny
  صديقت الفاسدين,misogyny
    ديما شعرها حلو   ���,none
   النساء اللبنانيات في الساحات الامامية فعلا، وأقل في الساحات الافتراضية  للاطلاع على المزيد من الاحصائيات :///…,none
  خلص سكتي بلا هبل,misogyny
  يبدو أن الجوع سيطر عليك الصحيفة وليس الصفيحة,none
  يا م نص لسان حاجي تبثي الفتن,misogyny
  روحي انضبي يا كركمي  تفو عليكي و على اخلاقك,misogyny
  ايه اكيد بدو يحكي عن النازحين لان هيدي وحدي من المشاكل بشرفك قليلي قديش دفعينلك لتحكي هل حكي و و حياااة الله ما بخبر حداا�,none
  ما ابشعك وما اسخفك,misogyny
    يا مشحر شو بهايم ولي هول يا هبلة مخابرات جيش هيدي بقلب السرايا مصورينة لقوي تسوقولا لهل فتنة خافو الله,misogyny
   بشرفكن شباب فينا نوقف مسبات المتعلقة بالنساء والأمهات يعني قي الف مسبة تانية  لبنان ينتفض :///,none
     افهم يا بلا فهم,none
نحنا معك لانك صوت حر و بتمثلينا  ديما صادق انسانة حرة وبتقول كلمة الحق تزعل زعران السلطة الحاكمة   كلنا ديما صادق    ,none
  انت حثالة من بلادي �,misogyny
    عادي ولو خليها عم تعوي  �,misogyny
  حبيبتي  مبارح جنيت وانا عم بحضرك الله يحميكي شكرا,none
  إذا أردت اكتشاف عقل شخص  فـ أنظر إليه كيف يحاور من يخالفه الرأي      برنارد شو    كلنا ديما صادق,none
  أي حكومة وأي شعب سماحة السيد اسمو يا محترمة,none
  انسانة تافهة ولطالما كنت بوق للفتن,misogyny
     المجد لاقفال تمك�    بالشمع الحمر,misogyny
     اجر السيد حسن اشرف من راسك والحزب بطولو وعرضو مش حيبعت حمودي وعلوشي ليمدحوا السيد بس اذا بدك ببعتلك انا شب…,misogyny
  ايه خلي الشباب الطيبة المهذبة المشاغبة يفتحلون الطرقات وإلا رح يضطروا يعتصموا بالمطار,none
  ساليلي اهلك شو عم بقولوا ثوارك  عم يهتفوا لصاحبك الحريري   العما ما اهبلك,misogyny
  يا غبية قال لن نقبل باسقاط العهد ولا نؤيد استقالة الحكومة وعادا لحتى امثالك الاغبية يفهموا يا بهيمة بس طلعتي اغبى من الغبي ��,misogyny
    على ما يبدو إنو توقعاتك زي توقعات ليلى عبد اللطيف,none
    معقول نزلتو تصورتو وفليتو دغري,none
  اين حرية الرأي؟؟؟ كيف بتهيني الناس وتسميهن غنم؟,none
    اللي بدق الباب بدو يسمع الجواب،،، رحم الله امرء عرف حده فوقف عنده,none
      هذا أقلية لا تمثل ، لكن من يريد ان يكون فوق الانتقاد عليه ان يقف بمكان الشبهة… :///,none
ديما الواطية   ديما الواطية   ديما الواطية   ديما الواطية   ديما الواطية   ديما الواطية   ديما الواطية… :///,misogyny
  يا نوال يا نوال خبريني شو كان لون كلساتهم لما صار هالحديث بما انك كنت موجودة,none
  مش هيدي يلي سقطت بالانتخابات�,none
          بري وجبران قعدو سنه يتخانقو على النفط  كل… :///,none
  يا بنت الحرام في طرابلس حصل إطلاق نار من اجل ازالة صورة وفي جل الديب حصل نفس الأمر يعني سر السبب لتركيزك على النبطية يا صرمة,misogyny
  اهم شي يقبر قلبك ويقبرك بالطريق,misogyny
     كذابة   ديما الواطية ديماالكذابة ديما الحقيرة,misogyny
    تكبييييير  كل ما صار شي بهالبلد عملتولي فيها مكشوفه ومكشوفه  شو الناس عم تنام وتقوم… :///,none
نانسي السبع : أعداد المتظاهرين تتزايد في ساحة رياض الصلح بعد خطاب السيد �� :///,none
  سقط الرئيس الحريري يا هبلة,misogyny
  مدام ديما اذا ممكن تسألي شي خبير اقتصادي مدى قانونية الهندسة المالية التي قام بها حاكم مصرف لبنان لتربيح… :///,none
  الله يحشرك معو يا رب,none
  ��� يعني انتي وهل كم اهبل اكتشفت البارود ليش وين في جيش بلبنان المحرر غير جيش لبناني يا هبلة,misogyny
  انت معروفة شو انت ومن يوم يومك ممسحة على درج السراي فشرتي إذا بتوصلي لكعب صباط السيد لا انت ولا معلمينك,misogyny
  يمنى تفضلي على ساحة الشهداء، من هون ما عمنشوف إلا لبنان الجديد بلا الوجوه القديمه، منظر بطير العقل,none
  ما في احقر منك يا عميلة ديما الواطية,misogyny
  ديما صادق احذروها هي ناقوس فتنوي في مشروع مشبوه وبوق اعلامي مأجور انها قرن شيطان احذروها,misogyny
  والله طلعتي درجة  من ربع لسان   ل نص لسان   بهنيكي انا و حابب اتعرف عليكي دروري,misogyny
    من اليوم انت حرة,none
  سكري بوزك يا عاهره,misogyny
   إنت أشرف منن كلن ومن أخلاقن  كلنا ديما صادق,none
  كلنا ديما صادق كلن يعني كلن الله يقويكي,none
  يا حنونه بتخافه عليهن والله لستحو ماتو,none
  ما هي الرسالة التي توجه؟ سخافة متل سخافة  ,misogyny
     سدي نيعك يا واطية,misogyny
  يازعرا انت ههههههه,misogyny
اخرسي يا نانسي السبع  و خليك بمهنتك الإعلامية و استمعي لكل الآراء و لا تفرضي آراءك على الضيوف و على المداخلات   هذا… :///,misogyny
  والله ما فيه اقوى منك، الله يحميكي,none
    صدقنا انك نزلتي ليه ما بقيتي ديما الواطية,misogyny
  شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ,none
  المهم زبدة الكلام ع ريت ستي,none
  صايرة كذابة وموتورة,misogyny
  الانتقاد بل السياسة حق بس احترام الكبير واجب,none
كلنا جويل ❤️    :///,none
  هني الواطيين حثالة المجتمع   ما تهكلي للهم,none
  يا حيوانة ليش مين بعبدا و مين الضاحية,misogyny
    بليز اسكتي من دون ما تلعي نفسنا اكتر من هيك، باسيل و عمو هني الفساد بحد ذاتو,none
  اديش عم تاخدي عا كل تويت لتبيني هبلععععع,misogyny
  شدي براغي حنكك طول عمرك واطية وعميلة ديما الوطية,misogyny
  ديما الواطية قريبا حنزورك عبيتك بالروشة,misogyny
  يا حمارة العلم لي عم تسألي عنو مرفوع بالعالي ورح يضل مرفوع بالعالي بس للأسف إنتي واطية كتير مش قادرة تشو… :///,misogyny
  ديما هلقد الإصبع عم يعمل فيكي صدقيني ما في داعي تفزعي من شي بس كوني صادقة الكل بيحترمك,none
    رمز الفتنة رتش روحي انضبي,misogyny
شجاعة وصادقة في موقفها   تحية لك :///,none
  ست ديما ، الإستقالة لوحدها ما بتكفي ، بعدها ناقصة ، قوليلهن يمشوا للآخر  يسعد صباحك  �,none
  الله يحميكن  ثورة ضد الظلم و الفساد  احنا اهل اليمن قلوبنا معكن    تحياتي الك ديما صادق  و تحية ✋ لكل المشاركين بالمضاهرات,none
  كامل احترامي لكي آنسة نوال الله يعطيكم العافية بتبيضوا الوجه و بترفعوا الرأس بحرفيتكن بالتغطية الله يحميكم,none
    عفكرة هي ما بتغرد متل باقي الناس  بتشنهق �,misogyny
    شو حضارية انت ,none
     يا واطية سألي دريان لمش دريان الله وين حاطو وقت وصل الملف على القضاء طلع قال السنيورة خط احمر ورمز من رموز…,misogyny
  نفايات الكترونية و انت وحدة منن,misogyny
  ما بدك تشوفي، وفشر انو يسقطوا  ديما الواطية :///,misogyny
  شو يا هبيلة وين استقالة الحكومي يلا خدي � و نامي,misogyny
  طلعتي مسترزقة   ومعاشك من فوايد القرض من مصرف لبنان,none
  عم بتشرعي حمل السلاح يا حمارة,misogyny
  ماذا عن هضامتك,none
  يا يمنى يعني من الباب للطاقة صارة القصة ؟,none
  اي ورقة اقتصادية بتقدمت  هيدي الطبقة ما الا معنى وعود كذابة من  سنة   اول حل انو  يفلو وبعدين  منحكي بوراق,none
  انت متل هيدا الأزعر اللي مسكر الطريق  و كان من قبل خوات و بطل خوات و صار هلق لبنانيحرباية,misogyny
  الوثائق اصبحت عند القضاء تفضلي إسألي القضاء,none
  بهيدي الطريقة بتحكي مع بيك لرباكي ونعم التربية اذا كان بتعرفي مين الظاهر من حديثك بلا اهل,none
  انت اكتر وحدة ما بحقلك تحكي عن الشرفما تكوني مفكرة الشرف شي بونبونةلا عينيالشرف شي ما خصك فيبس تكبري بتفهمي,misogyny
لازم كل لبناني بيحب وطنو، يفتخر فيكي من بعد هيك مقدمة  بس للأسف           :///     كلنا ديما صادق,none
  الله يخديك الهي يا حشره,misogyny
    فساد شو ؟ما تكون عم تسرق الدولة وتعمل صفقات على حساب الدولةما تكون عم تبعت شباب يقوصو… :///,none
    ليه بعد في يطلع غير ع المنار هل الفاشل أكيد بعد هل الثورة رح يدمن على المهدئات,none
  ايه ليه ما حدا عم ينقل نبض الثورة طرابلس ,none
    و قال شو اسمعو عم يهتفو ضد السيد ��‍♀️��‍♀️��‍♀️ الهبلة مش فهماني انو هني ذاتهم الي ضد السيد بع… :///,misogyny
     سدي بوزك، بوزك سديه ديما الواطية :///,misogyny
  عالجبانة انشالله بتنزلي دغري و بقبرك,misogyny
بتتذكرو بس ديما صادق كشتو للبوق السوري وئام وهاب؟  من يوما صرت حب   كلنا ديما صادق,none
    عم بطعموها الها بطاطا ولبنه ولغيرها كبه بالكبايه وكنافه علي بابا ���,none
   تلحسي ما تضرسي,misogyny
    بلا قطعا من اجري بحديثك،هبلة ,misogyny
  شكلك هبله نحن  طوائف مش بلد يا خالصه,misogyny
  النازحين هي مشكلة من المشاكل يلي عم يواجها لبنان  معك خبر انو في مليونين نازح؟,none
  منحبك نوال,none
  الحمد لله ع سلامتك نوال أنت مثال  المرأة الشجاعة الجريئة يعطيك الف عافيه,none
  قناة الثورة التي تعطي صورة رائعة عن لبنان من شماله الى جنوبه,none
  ايمتا بدك تصيري بنت عيلة وتبطلي تحكي متل ولاد الشوارع انتقدي بحضارية يا سفيهة,misogyny
    عم تركب الموجة بحذر شديد ذكية جسيكا �,none
  انوا مش وقتها   دايما الوضع حساس و مش وقتها,none
  يعني اسمالله عليك من وين جايبي كل هالذكا كل خبرية بتتحفينا فيا بدا أينشتاين ليحللا برافو  ��� :///,none
  بحب طمنك جعجع راجع :///,none
  عاملة فيها المحقق كونان خليها طالعة طلعتها بس مش مطولة القصة ليرجعوا على جحورهم,none
  و المقاومة لا تموت عزيزتي ديمالأنها من صميم الشعب و روحه الثورية تحياتي❤,none
    ما شاء الله نبيهة جدا طا شاء الله,none
    أنت اذكى صحافية ,none
  مين حضرتك لتقولي ممنوع هيدا الشي او مسموح هيدا الشي بعدك ما وصلتي لمترح تأ تبلشي تمنعي نعم لحرية الرأي مهما كان الرأي,none
  ديما الواطية معلومة قربة لله حرف  بيعني    رجعي طلعي بالأرقام هلأ وخبريني عن شعورك,misogyny
  احتياط سكري نيعك �,misogyny
  يا اغشم مخلوقات الله  يا مسخرة التاريخ  يا تافهة  يا فاجرة  و اكتر بكتير  سماحة السيد اللي صرم… :///,misogyny
  كتير منيح بكر الحكومة يلي رح يجيبا الشعب رح تاخد بعين الاعتبار الورقة متشككون,none
  إنسانة وصولية انتهازية متلك يجب طردها من ساحات الحرية سوري عا كلمة إنسانة ���� كل عمرك نايمة بأحضان الس… :///,misogyny
    نقلعة انت وياها العمى بقلبك شو بلا شرف,none
  نطقتي بالحق فهاجموكي,none
  بدي اعرف من وين بتجيبي هضامتك من أي مجرور ؟   سم لعم تبخيه عم يطلع فيكي   ابكي بترتاحي,misogyny
  انشالله   بيقبرك و برتاح من قرفك و هبلك ��,misogyny
  تلحسي مفكري حالك بتفهمي و الحشا بينك و بين الفهم مسافة ما بتوصليلها,misogyny
  العمى بقلبك ما اسخفكلو في علم الحزب كنت قلتي وين علم لبنانعنجد انك حاقدة,misogyny
    احلا ديما صادق,none
  انت عم بتقوليها بس بلسان غيرك والا ما كان في لزوم تحطيها,none
      هيدي حجة كل السلطات على مدى كل الثورات و الاحتجاجات ، التهديد بالفراغ ،,none
    احلا عالم   لازم تكون وزيرة الثقافه والسياحه❤️,none
  يا ريتو تارقك بشي انينه او صرمايه على وجك,misogyny
  الله محييكم والله يحميكم,none
  بكرا بس تاكل سحسوح على الحواجز الطائفية بتشفى,misogyny
    اللي بيحط راسو بالتراب وماعنده اي كلام يحكيه عن الفاسدين يكف بلاه عن اللي بيحكي… :///,none
  خلي التعليق لحدا بيفهم ، انتي انضبي يا مجوية,misogyny
  إنت شو محلك من الاعراب لحتى تحكي على سيدك وتاج راسك  لعمى بقلبك سكري بوزك وحاجي تحكي,misogyny
  واطية عن جد واطية,misogyny
  اه والله انك صادقة,none
  يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيئة الحاضنة والتي لم تشه… :///,none
  صدقيني ما حدا مقصر بحدا,none
  من شتم  ومن اهان اي شخص هو يمثل نفسه فقط طرابلس مدينة العيش المشترك والاخلاق والروح الوطنية,none
  يسلم تمك,none
  بلا ما تفسري مين عم تشرجي التلفون او من اين كل هذه الموائد الشي واضح وكلنا منعرف من اين لكم هذا,none
  اجري فيك شو انك حيوانة بسالحيوان انظف منك الهي يفقعك جلطة تاخدك و تريحنا من قرفك انت الوحيدة اللي بفرح لما سبها,misogyny
     حرام بشفق عليكي كنت اسمع انك فاضية عذرا من كلمتي بس ما كنت صدق لان بنظري انه لو خالفني الرأي احدهم ولكن بيبقى…,none
  تافهة منحطة وبايخة   لعبي عقدك,misogyny
    الله يحميلك عيلتك,none
  منعرف انك معاقة و هلق تاكدنا انك طرشا,misogyny
    ما رايحه تكمل فرحتك ابقي تذكريني بعد بكرا,none
    وحدة وطنحية(عاملة حالها بتحب الوطن) وزوجها تخلى عن الجنسية اللبنانية تفه على شرفك وشرفه,misogyny
  لبنان مش سوريا يا غبية,misogyny
  موتي بغيظك يامتصهينة �,misogyny
    هلق توصيفك لهالورقة نابع عن عصارة فهمك ؟ بس لنعرف عمق تفكير البعض ��‍♂️�,none
      المجد والسلام للبنان شعبا وجيشا ����,none
  ههههههه لماذا البكاء ياثوريه يام الاخلاق �,none
     ايار الجايي لازم يسحبوك من شعرك بلكي بتصيري  تفهمي,misogyny
    كل صادق علية الوقوف مع ديماصادق الله يحميهامن سرورهم,none
  الرئيس القادم جبران باسيل غصبن عنك يا شرشوحة,misogyny
  بتمسحي جوخ منيح ,none
  اصمتي يا ام نص لسان,misogyny
  الله يلعن شرفك وشرف لي علمك  انت وحدي عم تلعبي بي دمك من شان المصاري عم يدفعولك مش شبعاني بعدك  حزب ال… :///,misogyny
  هو لو في بلد وقضاء كان لازم انتي واذاعتك على المحكمة بتهم تحريض واثارة الفتنة في لبنان,none
    خرا عليك وعلى  ,misogyny
  عزيزتي ديما صرت أعشقك ❤,none
  انتي بالذات كلي خرا,misogyny
كلنا ديما صادق لأن نصرالله واحد منهن ���بس هيك  ,none
    الكلمة المناسبة في المكان المناسب,none
    العمى شو جاهلة,misogyny
  تيتا ديما يا هلا انتي المثال الأعلى عن اللبنانية يلي بيحكوا بدون ما يفهموا شو عم يحكوا,none
نانسي السبع صارت القصة عندا كمين ومحاور و حفرة مدري مين وقع فيها  بعد كلمة السيد أكيد الاعلام المأجور بدو يحرض اللهم… :///,none
      الدواعش ينبحون,none
  في مثل هذه الحالات يبرز مواقف انسانية تدل على ضعف الانسان ومدى تأخره عن فهم الحقيقة التي لم تزل بعيدة عن ادراك العقل البشري ,none
    وين الاثبات يا نوال,none
  الله يلعنك صهيونيه,misogyny
  السيد حسن نصر الله صرمايتو أشرف منك و منون يا ديما صادق,misogyny
  نوال حكيلنا مع إبن عمك بركي بحللنا  مجلس النواب وخلي يعطيهم اجازات طويلة,none
  نرجع لبلدنا حبيبتي ما هوي البلد إلنا  لبقدم ولادو شهدا فدا البلد ان كان ضد محاربة داعش او اسرائيل شو ب… :///,none
  الحاقد اعمى وانت حاقدة ع هبل�,misogyny
  مش قاهرك الا العونيه انت �� شو وقحه لو  بتعيرينا سكوتك  بليز شو بكون افضل �,misogyny
  نضبي يا فتانة نضبي يا ديما الواطية,misogyny
  من الصحفيات العبقريات ,none
"لو فعلا تغيرت عقلية الحكومة بالادارة كان اول شي عملوه هو اقالة كافة ما يطلق عليهم لقب ""وزير دولة""   :///",none
  الطرقات بدها تفتح غص من عن لي خلفك يا بنت الجزمة,misogyny
  ولا تهتمي ديما صرمايتك برأسهم,none
  شو فقيرة وقلبك على الغلابة,none
  انت كيف بتحترمي حالك و بترددي هيك جماة معيبة بحق المرأة اولا ووالدة وزير تانيا ان هيدي ام اذا عندك ام,none
  خلص خرسي,misogyny
    السيد تحت رجلي,none
  وحده بلا أخلاق حقق سرماية,misogyny
    خسارة بنت كلب,misogyny
  عنجد صايرة تافهة و انفضحت عالتقيل كيف منحازة,misogyny
  مسكينة يا ديما تمسحتي شي بينفخ فيكي وشي بيبزق عليكي طز فيكي على هالاخرة,misogyny
  من أراد أن يعرف أخلاق  الحزب (الذي نسب نفسه الى الله) فليقرأ للمعلقين من أتباعه,none
  اشتقنالك جيسيكا مش عم نشوفك كتير ❤,none
    هيدي جاهلة اصلا قراية ما بتعرف تقرا  وشحتوا من قناة الحرة,misogyny
    اشتاقت للبهدلة,misogyny
  اخت ديما ذكري السيد أبو رميا عن الجمع بين الوزارة والنيابة هيدا الوعد مثل عن كل اقوالهم صح,none
  عادي لانك حرة ولأنهم عبيد,none
  ست نوال انت أيقونة الثورة  وأعظم الاعلاميين  كلام من ذهب,none
      لو الهبل بوجع لصرخت انت الى ما لا نهاية,misogyny
  يا بهيمة شو الخلل اللي صار او المهم بدك تنهقي يقطع عمرك مين بين هالاعلاميين شو منحطة,misogyny
  تافهة وراح تضلك تافهة,misogyny
"     نحنا على الأرض بطرابلس، نحنا الجيل الجديد و الشباب، مطلبنا الأساسي    ""انك ما تحكي بإسمنا لأنك ما بتمثلينا""",none
    طولي بالك تعصبيش عالصبح,none
  إسمو سماحة السيد حسن نصرالله يا ديما الوطية,misogyny
  شو رخيصة يا ديما,misogyny
  بس ما شفناك تحت يا بنت الثورة,none
    سدي بوزك يا بنت الكلب يا واطية يا كركوبة يا كرخمي يا زقاقية، الله يلعن الي جابتك ريتا جابت كلبة جعارية ولا جابتك,misogyny
  فشرتي ياعميله ياام نص لسان,misogyny
    مدام ديما بدي أسئلك اذا حدى عم يناصر قاتل هل هذا رأي ولا شو ، انا عم بسئل بشكل عام ولا بعرف ع… :///,none
  ، طرابلس عروس الثورة وعروس لبنان ،   وإنت يا عروس نورت طرابلس يا بطلة لبنان,none
  يا حمارة يا سطله ما بتفهمي عربي ، سماحة الأمين العام تاج رأسك قال لن يسقط العهد ، جايبي العار لبلدتك الخيام ، تفه يا شاضومه,misogyny
  اي شكلك حابة تاكلي شي عصاية من شباب الخندق يلا ع طريق جاينك ����,misogyny
  ما حدا غيركن عم بيعلم الشعب على قلة الاخلاق,none
    ناقصنا امت يا مشاية تحكي هون هيدا الناقص,misogyny
  شو خص الضاحية يا وسخة,misogyny
  يوم الخميس الماضي غادرت ديما منزلها الزوجي الكائن في بيروت لتركب موتسيلات وتهرج على الشاشات وتتسكع في الطرقات,none
  انت راسك بدو تكسبر يا محرضة انت خرسي وخليكي بقرفك ببيروت ديما صادق اوسخ عالم,misogyny
  أصيلة و بنت أصل يا    و فعلا أثبتي أنك وفية للبنان الله يحميكي و يحمي شيخ  ,none
  ست يمنى ، إذا الكلام المسيء له تبعاته القانونية بهالأيام كتار لازم يتحاسبوا وخصوصا من هم في الساحات,none
   نانسي السبع   طلعت اوسخ من بقية المذيعين ع شباب الحزب    مدري مقهوره او مفزوره   المهم عم تنط سم كانت مستنفره �� ://…,misogyny
  خليكي حرضي   واطية   يا واطية,misogyny
      جيبي موافقة من بكركي والمفتي وانا بمشي معك,none
      إذا فهمت هذا من كلامي  فهذا عقلك  وأنت حر به ,none
    الله يقويكي ولا تتاثري لو قدر ذرة هذه أنفس مريضة وعلاجها صعب,none
    معروف اديش حقك خلص خرسي بقا,misogyny
  أو تكوني مأجورة ومدفعلك,none
   كلنا معك  لبنان ينتفص  نصر الله واحد منهن  كلنا ديما صادق,none
    الله يحمي ال  وكل المراسلين و خصوصا    والمصور خليل عقيقي  وباقي المراسلين… :///,none
  يقبرك انشالله,misogyny
  براڤو و كلنا رح ننزل معكن ما حدا يبقى بالبيت,none
  شيوعية حاقدة,misogyny
  بينوكيو الثورة  ديما الكذابة,misogyny
  فتحي عيونك منيح  اتطلعي بالشوارع وبقلوب الناس بتعرفي وين صار العلم,none
  ديما انت احقر الناس   انت وحدة بلا تربايه انت والي معك والي بحبك يا واطية,misogyny
    مين ضربك,none
  تبقي سجليهن عا لوح تلج وشوفي شو بيطلعلك ان مفكره انتي غير الكل يعني كل الصحافيه تبهدله او جمالك غير شكل مصدقه حالك,none
  اربطي زندك وحاجيكي تحريض انت وجماعتك,none
  موتي بغيضك يا منافقة,misogyny
تحية كبيرة للاعلامية نانسي السبع بمحاورتها ل مي خريش نائب رئيس التيار الوطني الحر للشؤون السياسية   تحية لجرأتك و… :///,none
  نانسي السبع المتقلبة,none
  يمنى هيدي الاصلاحات قابلة للتعديل ،على الأقل فينا نبلش من مطرح,none
    يبدو أنك اكلي فول قبل النوم,none
  بيلبقلك كيف ما تصورتي ووين ما كنتي ومع مين ما كنتي �,none
  ما كنت عارف بتلدغي ب ر مهضومه كتير,none
