text,Majority_Label,label,id
السيسي يقتل شعبه وتري العرب يطبلون ويدعمونه بالميارات,1.0,not racism,
كنتي بنت ناس مكنتيش تصيفطي ليه دوك تصاور عريانه مصوره بديك طريقه بحال شي محترفه دعاره او كتقولي راجلي باش راجلك فاتحه واش حنا باقين زمن لفاتحه نوظي احبيبه جمعي راسك قالك ظحك نتوما كظحكو روسكم او تعطيو فرصه لشمايت يلعبو عليكم تستاهلي كاع فيك الي بغا يظامن خاصو يظامن بصح محتاج تظامون ماشي بحالك يديرها ايديهم او يجيو يشكيو,1.0,not racism,
انت حمار ول بتستحمر علينا,1.0,not racism,
انت جيتك الدني فتنه فتنجي,1.0,not racism,
الاهمال الحوثي مرتزقه الاعلام وقوافل الاعانات السعوديه والامارات مدار الساعه اعمي بصيرتكم الحقد السعوديه والامارات تقولوا الحقيقه,1.0,Racism,
سيذهب السيسي والاه العبيد ويبقي الحق وانصاره الابرار الاطهار,1.0,not racism,
ولك انت دب العالم سكوت,1.0,not racism,
يللي عم قوله نوع التهكم بهله شو بدي اعمل اذا راسك محدود,1.0,not racism,85.0
مره حكيتي انو تعرضتي للتنمر لانك كنتي مسلمه بمدرسه مسيحيه بالاشرفيه شكلك ديما بعدك معقده الصغر,1.0,Racism,
ريتو ستميت عمرك ان تجوزت ان تجوزت خرا عاللي بتتجوزك عاللي بيعجبو هيك حكي,1.0,not racism,
صدقتي ديما للاسف اللبنانيين اكثر تخلفا وعنصريه,1.0,Racism,
مقارنه محلها ايران تصنع شيء تقريبا العرب الخليج يصنعوا دراجه هواءيه لحد فكيف تتوقع منهم صنع سلاح نووي,1.0,not racism,
حول قوه الا بالله الله اولاد الاوروبين اصبحو مربين بوزبال اوروبا اشاهد الاجانب لديهم وشوم اكتر الاوربيين,1.0,Racism,
يابنت لجنوب انت اول وحده اسراءيل وضد المقاومه فهمتك مفصومه ايمتي شرف والوطنيه لدبو عليكي فجاه شفت احقر منك,1.0,Racism,
ابشروا بالهزاءم حكام الخليج عملاء الصهيونيه كلاب اسراءيل فقد حان حز رءوسكم ابناء الطلقاء يدافع الحمير فهو جحش يستحق الضرب دبره البهاءم,1.0,Racism,
السومه تاج راسك كلب,1.0,not racism,
حاجي تحريض ام نص لسان,1.0,not racism,
انتي نص لسان خراسي,1.0,not racism,
ديما الواطيه كابوسك جبران باسيل كلنا جبران انقبري كفي خافي ربك,1.0,not racism,
اكثر شعب متخلف رغم انهم عندهم تتطور الصناعات بعدهم شعب جاهل ويصدق الخرافات بشكل كبير جدا وتبرك البقر وبول البقر اعزكم الله,1.0,Racism,
العسوديه هدفها استعماري اضعاف اليمن السيطره بحر العرب ولكنها بهذا العمل تزيد عدد الدول تعاديها وتءجج نار الفتنه,1.0,not racism,
حنا شلوح بينا اوبينك 7 سماوات الله يعنل تامل بوك,1.0,Racism,
انت بتطلع الكلمات طيزك وبتصفها ورا اعتباطيا الفلتر اخذ عقلك الخرا,1.0,not racism,
انت حريمك عواهر,1.0,not racism,
تلقاك تحريري هارب القرون الوسطي ولسه بتحلم راجل التخلف سمه لهذه الشعوب وثقافتها,1.0,Racism,
قرينه جديده عماله الملاحده المرتدين للغرب ولصهاينه غرر فاسراءيل الكبري المخطط تجاور حق الجار جاره مناصرته,1.0,Racism,
هوي يحق ان يتكلم وامثالكم الخانعين احظان الغرب والصهاينه ان تخرسو,1.0,Racism,
انت وقح عاهره تحاضر بالعفه,1.0,not racism,
جبران باسيل كلب نابح للايرانيين تهمه مصلحه لبنان مثله رءيسه ميشيل عون,1.0,not racism,
وحده بلا اخلاق حقق سرمايه,1.0,not racism,
غلطو فالسميه فالحاله المدنيه داروك كريم صدقتي راسك ذكر اش راجل خاصك العصا زايدا لمك الهم مسكينه انوضي تكعدي عاوني امك الزمان الله يهديك,1.0,Racism,
معزه طارت تغلبو الشعوب انتم طرتم بالسماء,1.0,not racism,
السعوديه والامارات الصهاينه موللوه اخطاو الحساب وليس حفتر المرتتزق,1.0,Racism,
سد بوزك كلب انت شقفه عتال بتشتغل ببلدي خراس ولك حشره اذا بدك شغل بدي ناطور لبنايتي بشغلك بتشطف الدرج عندي وبتلم الزباله,1.0,not racism,
انت عماد عثمان ياصوص,1.0,not racism,
ينعم العرب بالسلام المجتمعي داموا يعتنقون الثقافه ظهرت حكايه غار حراء,1.0,Racism,
انعل ابوكم ابو جيش اسراءيل كلاب كلكم,1.0,Racism,
اولا قرارك وليس قرار الشعب السوداني ولست شرعي ولتشترك بالحرب عملاء امريكا اليمنيين,1.0,Racism,
يلعن عرضك شو منافق بيار صوهيوشيوعي,1.0,Racism,
عام انت ديوثه عام انت نكره عام انت ناقصه عام عندك خلل ونقص انت بتشبهي الشي,1.0,not racism,
اصمتي ام نص لسان,1.0,not racism,
انتم منبع الدجل والكذب الشعوب وعلي المسلمين باسم الاسلام فرق بينكم وبين اعداء الله شء يصدق الا السفيه ابتغي متاع الدنيا عقيدتكم دين دين الزرادشه,1.0,not racism,
لبناني مشرد اي بلد يدخله للبناني ينشر الفساد والرشوه,1.0,Racism,
للاسف ياقناه الجزيره اصبحتم بعيديين الحياديه تقاريركم الاخباريه وتابعين لعده دول اذكرها لانكم تنشروا تعليقي,1.0,not racism,
وانشا حنا مسلمين كلاب اس هادا اشي كيعلوا اولادنا الله يخليكم بالخلي,1.0,Racism,
كول هوا خنزير الخنازير الصهاينه نهايتهم للدعس تفه,1.0,Racism,
القبايل الحوثيين الان ربما اكثر مليون والبركه العاصفه والعدوان الفاشل اليوم مقاتله سعوديه قتلت وجرحت اكثر 100شخص تعز,1.0,not racism,
عرفت انه خاين ايام صدام الله يرحمه ترسلهم الدول العدوه للقضاء دوله مسلمه شريفه واساءل الله عز وجل ان ينتقم للمسلمين شر الخونه معهم,1.0,not racism,
مابقاش عرس حلاقي الاسواق كلها يلغا بالغاه كلاب الضاله,1.0,Racism,
الله يحرمك الهبل ان شاء الله,1.0,not racism,
والعرب كالعاده حياه لمن تنادي حفنه صهاينه لصوص مجرمون جبناء نكلوا 350 مليون عربي للتذكير كيد الصهاينه ضعيف,1.0,Racism,
انضبي ام نص لسان طعمرك ابشعك,1.0,not racism,
ديما اكتر وحده بتتحمل مسءوليه باللي عم تتعرضلوا البنت انت وحده متنمره ومءذيه وحاجتك تكتبي وتمحي بتعرفي,1.0,Racism,
علماء الامه علماء امريكا عبيدها يحضرون الفتاوي الطلب هءولاء بلاء الامه نجاستها تغسل بالماء,1.0,Racism,
مفتي القتل صهيوني بامتياز امثال القرضاوي مرض عضال جسد الامه,1.0,Racism,
اين حريه التعبير يقول اطردوهم اقول عندما يخرج الصليب الشرق الاوسط نعود الي الوطن العربي,1.0,Racism,
انت مرحبا بلبنان وهاب الصرمايه,1.0,not racism,
السيسي بطل قومي انقذ مصر جهل وغباء وخيانه الاخوان السيسي بيعمل الاتجاهات الخارجيه والداخليه لاعاده مصر لدورها الاقليمي والدولي السيسي بيسعي بمشاريع اقتصاديه وتنمويه كبيره,1.0,not racism,
ناطره ياخدوك عسجن روميه كرمال يقصولك شعراتك المزروعين قرد الجاهليه,1.0,Racism,
لاحول لاقوه الا بالله الله تقبله الشهداء اهل مصر عليكم بالاخوان اخواتهم فهم اساس فساد تخلف الدين بريء منهم الي يوم الدين,1.0,Racism,
صوره المصحف الشريف موجوده سنوات الانترنت اين المصداقيه,1.0,not racism,
سيخسر المعركه الاعراب واسواقهم وبورصاتهم يكفي صاروخ ايراني لتدمير الاقتصاد الاعرابي,1.0,not racism,
هييه تسعوا لناكل طعمه اما الحقيقه ان الاستعمار الغربي والشرقي سيجتمع اي شعب يثور حكامهم وولاتهم المنصبين منهم وسيتعاونون وكما نري بسوريه,1.0,not racism,
فكيف يكون مصلحه الولايات المتحده اسراءيل السعوديه اخر كلمات التقرير توضح التحالف الخفي العلني السعوديه اسراءيل المحافظين الجدد الامريكيين او يسمي بالثالوث الشيطاني,1.0,Racism,
تامر المفسدين وتاجرو باسم سيعرف العالم بانهم عملاء متصهينين,1.0,Racism,
المصيبه ان الشخص بعثي بمذاق اخواني قطري يخرب بيتك عفلق الاشكال الي تركتها,1.0,Racism,
ام نص لسان حماره بلدي,1.0,not racism,
العالم كله يعرف عنوان كبير لاغيره العدوان السعودي فهو اللذي يقصف ويدمر ويمول ويحرض ويكره ويقتل وباعترافه واعلاناته الاعلاميه ومتحدثه الرسمي فاتركوا الهراء والاستغماء,1.0,Racism,
ساعه الجنرال السيسي اوميغا تباع 137 حبه رز مزاد اقيم حي خان الخليلي بينما بلغت نسبه الاقبال المزاد 21 7,1.0,not racism,
رد الليبي جاءر تخاف اسود الدوله الاسلاميه لان قلبك حب الناطو الجاءر نرحب,1.0,not racism,
علاقه ايران اسراءيل وليس الا بروسيا فلتاكل الطحين شعوب العملاء وبما تتغدي يوم بينما اارضهم اغني الارض,1.0,Racism,
كيتا يازنجي ياحمار تفوو,1.0,Racism,
الخارج الامه والدسيس الاسلام علماء السلاطين بتسمياتهم المتعدده هيءه كبار مهرجين الي كباريه الازهر,1.0,not racism,
لاجل خدمه شعوبهم مفلسف وقارن شعوب الدول المتقدمه بشعوب الدول المستعمره كمثلنا,1.0,Racism,
شيت او جاد فاك لايف كول هوا تلحس طيزي,1.0,not racism,
مسكينه المحاميه ودافعوا بيتها القط والكلب دافعوا اولادهم ليله ليه مر بيه اش مشيت راجل متزوج وانتو كدافع العهر,1.0,not racism,
نفهم الجزيره ان المسلمون عملاء امريكا,1.0,Racism,
ومنذ اسابيع قليله الفلسطينيون الاردنيون الدرك الاردني بتعذيب سجناء سجن جو البحرين لون السجناء اسود واصبحت اجسامهم هياكل عظميه واصابهم الجرب,1.0,not racism,
الازدراء تافوز الثور يقول شخصا يفعل مهينا فانت مجنون,1.0,not racism,
انضبي ام نص لسان,1.0,not racism,
غرد الجحش وظن باءنه حصانا تتكلم العوني بموضوعيه فيرد كبهيم حقير جربان اصله,1.0,not racism,4.0
جبران باسيل قال ان لبنان سيلعب دور رءيسا اعاده الاعمار الدول العربيه عندما يخرج راسه زباله بيروت يستطيع,1.0,Racism,
الله يلعن الاديان يلي دمرت البشريه,1.0,not racism,
انت سوري درزي اكيد او علوي او خربطلي اخرس ولاك انت وبشارك معك,1.0,Racism,
ديما الواطيهانت بقعر مجرور للصرف الصحي يصعب عليكي الخروج منو,1.0,not racism,
اللهم استرها الارض الارض يوم العرض المرجو مسحالفيديو وجه وااديها اولادها,1.0,not racism,
اش هاد النماذيج اعود بالله غضب الله هاد جوج علاش متجيهومش كرونا وتهنا الكره الارضيه منهم اوسخ بشر شفتهوم حياتي بقات فيا ديك البنيه مسكينه جبتي لهاد الدنيا شنو دنبها تكون عندها بحالك وانت واش مكيبقاوش فيك خوتك الاب ديالك يشوفوك بهاد الصوره المقرفه حرام والله حرام,1.0,not racism,
الم يصلك خبر الاصلاحيين طالبوا ببعض الحقوق تم اغتصابهم السجون وسلط عليهم اقسي انواع العذاب انك تعيش كوكب اخر,1.0,not racism,
اش هاد الزبل ولينا كنشوفو عادي تفو تفو تفو,1.0,not racism,12711.0
‏واقع قضيتهم انهم بلا قضيه مجرد تجاره وتبني شيء يكسبون خلاله وسلملي سلام الاخوان وتجار الكدس والكضيه والمكاومه والمقاوله ‎ فلسطين قضيه الشرفاء,1.0,not racism,
الحروب يدعي انها تشن باصفهان او بطهران بقم اصبحت الدول العربيه وشعوبها ملك ال فارس فضمها محافظات لامبراطوريه فارس فعلا اوقح واوسخ واحقر الفرس,1.0,Racism,
البيشمركه اكذب خلق الله,1.0,Racism,
تاج راسك واطيه,1.0,not racism,
اللهم اضرب البوذيين بالشيوعيين والشيوعيين بالبوذيين واخرج المسلمين بينهم سالمين,1.0,Racism,
مرتزق ايراني,1.0,Racism,
كفات pro hada,1.0,not racism,12806.0
عليكم اللعنه الي يوم الدين,1.0,not racism,
مسرحيه جاءوا ليقاتلو صنعو جاءوا ليسلمو اسلحتهم ليهاجمو السعوديه لايران,1.0,not racism,
هدا مرض نفسي لدينا ابناء واصبحنا نخاف اللهم الطف يارب هدا الزمان نري العجب,1.0,not racism,
داك المضبب جامع رايو لاخور باين دوده,1.0,Racism,
سالت نفسك لماذا الدول الكافره تحتضن الفتاه وتقدم الماوي وفرص الحياه الكريمه,1.0,not racism,
عندما يتم دعس راس الكلب يبدا النباح فقط,1.0,not racism,
منظر هيدي الهبله تبع التيار سينتيا الخازوق الشب الاشتراكي بيسوا الكره الارضيه,1.0,Racism,
حكم جنرالات عسكر فرنسا بالجزاءر اكبر حليف لنظام الصهاينه بسوريه وصنعتهم فرنسا,1.0,Racism,
انتم يمني ونحن شويه وستنصبح بلد بحكم العملاء الخونه المنصبين للمستعمر بالسعوديه واليمن اصلنا نستفيق ان دول عربيه ضاعت وابيدت,1.0,Racism,
الحاسوب مهمته فقط التجسس مكالمات ورساءل المواطنين السعوديين وتوصيلها الي المخابرات السعوديه اجل كشف اي حركه تهدد النظام السعودي وغير الكلام هراء,1.0,not racism,
ساءق التاكسي يقل ناش زوجته فقد التحكم السياره اصول عربيه مصر العربيه,1.0,not racism,
ستري تصويتهم الاعوج ولن سيقودون الاسد الصهيونيللمحاكم الجنايات الدوليه سيدينونه ولان حاميحدود الصهاينه والثوره ستقوده للمحاكمه ورغم مجلس الامن الاستعماري,1.0,not racism,
عندما يغرد القرد جبران باسيل,1.0,not racism,
فرحانين الاعراب ويعرضون عضلاتهم اليمنيين الفقراء شر البليه يضحك,1.0,Racism,
انت حمار وابن حمار وابن ابن حمار وبدك تبقي حمار انت حمار نديم,1.0,not racism,
وهذي تقدرون الخونه المرتزقه والحمير المستاجره تطلعون تقرير عنها,1.0,Racism,
حاسبي حالك البشر جلجوءه,1.0,not racism,
كلب مسيحي سليمان فرنجيه تابع لتيار مرده لبناني عم يمشطو جماعته منطقه مجليا لعرينيه,1.0,Racism,
ابناء الصهاينه واحفدهم تفو بلاد دتب,1.0,Racism,
انشالله بضلوا بعسنكو اسود الدوله,1.0,Racism,
حكام السعوديه تركيا ايران وسوريا مصر يبعثون اولادهم للقتال يمكنكم ان تفعلو مثلهم ان ترسلو اولادكم ذالك فهو خطاء علكم تعلمون,1.0,Racism,
يبايع امير المءمنين فهو كافر دمه مهدور,1.0,Racism,
الزناديق يقومون بتغطيه ال جنبلاط المرتدين الناكثين لديننا تناصر الباطل فهو سيبقي باطل,1.0,not racism,
حول قوه بالله ستري راسك الله يعطيك ذل نتي داك جحموم ديالك,1.0,not racism,
فشرت ولاك حيوان وهابي كلب ساعتك قريبه يالقيط,1.0,not racism,
اننا نعد الغرب بمسيره طويله تنتهي الا بتدمير اقتصاده جزاء وفاقا تعجرفهم سفاهتهم لمحاولاتهم الخبيثه انقاذ النصيري بشار انيابنا سيكونون ان شاء الله انيابنا,1.0,Racism,
اوك عارفين ان المجتمع العربي زقحتي السوريين برضو زق القضيه الفلسطينيه سوو زي ماسوو العرب معهم مو محور الحديثهو لحالو قال اناقررت اكون بالجانب الخير العالم انت ليش ماتتبرع بربع راتبك لعاءله سوريه ليش ماتستضيف عاءله سوريه ببيتك وتعطيهم الملحق الاقل او تستاجرلهم حي الله شقه بدل التحلطم العرب غجر العرب اغبيا وانت فلوسك كلها تروح لندن ودبي عفكره انت احقر العرب,1.0,not racism,
‏لما اقول انه الرجال وسخين وملاعين ويجي احد يقول لاتعممين التعميم لغه الجهلاء,1.0,not racism,
انتحر بعمر ال ٤٢ وليس ال ٨٧ سهوا متن الخبر,1.0,not racism,
اللهم اشغل الظالمين بالظالمين وخلصنا امريكا وروسيا وبشار اما الحوثين فامرهم سهل الخليج يسحقهم سحق,1.0,not racism,
ارحمك عرص خول تميم قنوات قطر الشاذه امثالها خيانه الشعوب العربيه الاسلاميه الافريقيه اعلاميون شواذهما هعدم الخونه بامري,1.0,Racism,
اكبر متخلف عرفتو الدوله اللبنانيه انت هيك عم تحرق دين العيش المشترك عنصري ولك اني كنت ايد الرءيس,1.0,Racism,
السيسي اللهجه المصريه تعني الحمار الصغير القصير يستخدم الملاهي للاطفال للتجول الملاهي وواضح ان اللهجه المصريه اقرب للحقيقه لهجه غرب افريقيا الاعتذار الواجب للحمير,1.0,Racism,
مستوي نت وهي مرتك تفو,1.0,not racism,
تماما الاب الروحي المافيوسي يقتل رفاق العصابه بلا تردد لخدمه مصالحه الشخصيه الصهيونيه مصيرك بلا شك معروف لديك مفر,1.0,Racism,
متعود تنشر قذارتك فيصل القاسم درزي قذر,1.0,not racism,
اسود غبي,1.0,Racism,
انه اشد الهولوكوست وهي اخره شعوبنا العربيه تتبني حكم العملاء الصهاينه وواجب ان نتحرر منهم جميعا وننتخب حكمنا ورغم الصهاينه كلهم,1.0,not racism,
بلا شرف معترفين انو تابعين ايران انت عترفي انو تابعه لاميركا واسراءيل,1.0,Racism,
تدخل ميزانيات شعوبناالعربيهالمحكومهمن عملاء يافواز,1.0,not racism,
ومتي التزمتم بيثاق شرف مهني الستم تكذبون الف مره اليوم وخاصه حول العدوان البربري اليمن انتم فاقدين للمصداقيه تماما مصداقيه مهنيه,1.0,Racism,
مجلس الريال كذابين ومرتزقه مستقبل وتعز تلفض الخونه وعملاء ال سعود,1.0,Racism,
صرامي اهل الضاحيه تاج راسك,1.0,not racism,
بلغت الضحایا فی منی بید ال سعود الی الاف سانسور الاخبار الی این یا الجزیره انتم شرکاء فی القتال ال سعود,1.0,Racism,
تاج راسك بلا شرف,1.0,not racism,
والبلطجي جبران باسيل المال لمعه حلال ولله حراميا شيخه,1.0,not racism,
شهداء ذنب السيسي اذنابه حطب جهنم,1.0,not racism,
ملء الشلوح رجعوا زوامل مشي خصنا كرونا خصنا شحجا زايدا,1.0,Racism,
اوغلو عصابته يهربون مستقبل تركيا,1.0,not racism,
ضل حدا بعبص بهالبلد كرمال هالجحش يلعن روحك انت وابوك,1.0,not racism,
وصنعتها االموسادوكلما شعروا بسقوط حكام اليهود مصر والامه,1.0,not racism,
طبعا لايجوز لايجوز ايضا للشام ان يقودها ابن ديوس ديوووس الشام وهدهده,1.0,Racism,
توافق وعباس ونباحه يطالبون بعمليه عاصفه غضب ضد غزه كلمه مصالحه جميله واقع تيار يريد التحرير واجلاء الصهاينه كامل فلسطين وتيار سماسره وعبيد ومنسقين امنيين,1.0,Racism,
جبران باسيل متخلف عقليا,1.0,not racism,
لايام جايه راسكن بلارض يكون عملاء ايران,1.0,Racism,
صرمايه عثمان براسك وبراس يلي خلفوك وانت يجب ان تكون السجن منافق وضيع ولن نسكت عنك ان تك,1.0,not racism,
وانت مين حضرتك مدير ميناء مدينه درنه القاءم بالاعمال السفير الليبي تركيا جاي تدلي بتصريحك طريق قسم التعليقات الجزيره اكاد اجزم بانك جماعه الاسد وليس علاقه بليبيا,1.0,Racism,
واءاب وهاب وجريده الاخبار وصرمايه عماد عثمان بتمكم فاسدين منافقين انت ونظام وايرانك اجره عثمان,1.0,Racism,
انتم اسلاميين تنتمون لامه الاسلام انتم صهيونيين اقل اكثر,1.0,Racism,
السيسي وعباس كبار الصهاينه العرب وعملاء اسراءيل,1.0,Racism,
ولي حماره هيدا بدل انو رءيس جمهوريه,1.0,not racism,
اذا عربت خربت اينما حل الاعراب حل الحراب,1.0,Racism,
هاذو اليهود اعداء الاسلام تفو علي هاذو الجراثيم نتاع اخر الزمان هاذو فيروس اقوي كورونا فساد الاءرظ الهم طهر الارظ هاذو الجراثيم,1.0,Racism,
كلي هواءمريضه مين حضرتك توصفي خطاب السيد شو محلك الاعراب,1.0,not racism,
ويفوز جواز السفر السوري بجاءزه اخري جواز سفر بالعالم واشقاءه العراقي والباكستاني والافغانستاني هللويا الله اكبر,1.0,not racism,
عوي كلب السعوديه دايسين راسك وراسك معلمينك ولاك خنزير,1.0,Racism,
القلاقل والمذابح قامت ايران وحلفاءها المعتقد الصفوي بتنفيذها لبنان ذبح الفلسطينيين ايدي حركه امل والعراق حرب الخميني وبقيه بلاد المسلمين بدات تعود عليهم بالوبال,1.0,not racism,
عندما تقدموا بسرعه الموصل يكن طيران يعيق تحركهم المختصل المفيد الرد العبيد,1.0,Racism,
الكلب المتلك بيحب يحس حالو ضيع للاسف انت كلب بشار وحسن حارس رقم,1.0,Racism,
روق خروق اجرم القوات خلق الله ومرجوعكن لصرمايتنا ولاك خنزير الله يلعنكم كلاب السعوديه,1.0,Racism,
وين دول الخليج الجربانه متخمه بالاموال تسسقبل اللاجءين الا الفلوس للسلاح القتل الله البصق ملوك امراء دول الخليج حرام لانه البصقه ممكن تتنجس منهم حول قوه الا بالله,1.0,Racism,
والله كنعرفك بنت داركم مايلوحك انت عرفك بغيت خربي عاءله باش تبني عاءلتك كنت العروبيه ديال سيدي حجاج اشداك لشي محامي معاريف طوموبيلات,1.0,Racism,
خساره سفينه البابا نوال كانت تحمل هدايا لاطفال غزه ففجرها وحوش ولايه سيناء اشرار,1.0,not racism,12709.0
هول تاج راسك وسخه,1.0,not racism,
والله اغبي ناس الارض لبناني يقول نكايه بالطهاره شخاخ,1.0,Racism,
نصف الشعوب العربيه تذبح يد ايران وبشارالاسد النصيري الميلشيات الشيعيه العراقيه واللبنانيه يقودها حسن زميره والروسي الحروب الصليبيه والنصف الاخر تكمل اسراءيل,1.0,not racism,
الفلسطينيين يعلمون اليقين ان دويله قطير تتامر ليل نهار عليهم يبني المستوطنات وتدعم الفرقه الفلسطينيين وهي تحاول الصاق التهم الغير فليحذر الفلسطينييون مءمرات الدويله الخبيثه وليتركو شتم وسب يدعمهم ويدعم قضيتهم,1.0,Racism,
يسعون لتشويه الحوثيين ليتم استباحتهم السنه والحوثيون ابناء الثوره وليس ابناءايران اليهوذيه,1.0,Racism,
السيسي دا شرموط مبيفهمش السياسه,1.0,not racism,
الله يدرون وين الله قاطهم خونه منافقين,1.0,not racism,
خرجه الله يقيمه سرماي كثيره اخص الغرب,1.0,not racism,
اكيد الجواب اسالكم موجود اروقه الخنزيره لانكم الاقرب الاسراءليين اي احد العالم ارجوا عدم الاستعباط,1.0,Racism,
اتفقا دب الابيض اخيه الادب الاسود معهما العبيد فيا الشرق والغرب علي اعا ده بشار,1.0,Racism,
يبدو ان خنازير الروس يستوعبوا درس جند الله افغانستان فها يعيدون الكره وسيخزيهم الله جديد القادر,1.0,Racism,
ههههههههههههه الله يلعن ابوك عهالخلفه العمي اسالك واجلطك وكمخ وزنخ وسميك ومقرف تجيك جلطه بنص لسان,1.0,not racism,
يحصل منهم تراخيص العمل بمصر فكيف يكونوا صحافيين هولاء جواسيس اعترفوا الاعتراف سيد الادله نقول للجزيره فات الميعاد تحيا مصر السيسي رءيس مصر,1.0,Racism,
اقسم بالله انتي قدامي بالمجان اسويلك شي زنجيه جاتك القرف سودا,1.0,Racism,
انت يلي فرقنا بريحه طيبه حشره حدا سالان معبرك,1.0,not racism,
نهايه السيسي الخاءن كنهايه قوم لوط يتناهي منكر فعله لبءس يفعل وان شاء الله المصير معتوه مصر الجديد,1.0,Racism,
فرق ولد يهودي مات جريمه ومشفي انقصف ومات زلمه جريمه حرب فرق تعفيش عفرين اكل خري وبراميل متفجره وكيماوي جراءم حرب ضد الانسانيه,1.0,Racism,
‏‎‎لا ال سعود وال زايد والوهابيه والصهاينه كلاب امريكا تستعجل قمه الرياض واضحه وشوف منو كلب امريكا,1.0,Racism,
اذا اردت ان تشتم انسان فتقول حمار اما اذا دت ان تشتم حمار فما الا ان تقول انت وءام وهاب,1.0,not racism,
