text,label
": ها علاش اوروبا مبقاوش يحملو العرب هد النوعية الهيطوكية مالين ثقافة ""كلشي ديال الله"" هي لوسخاتها وطيحت بالسمعة ديالنا htt…",Racism
ومال الحامض ماشي راجل فين_صندوق_التفاح,not racism
مند قديم الزمان امتلكت التفاحة سرا وسحرا و كانت رمزا للغواية وبوابة للحب و الحرب ومن أشهر اساطير التفاحة : تفاحة أفروديت تفاحة بياض الثلج تفاحة نيوتن تفاحة آبل تفاح القايد فين_صندوق_التفاح,not racism
تمريرة خطيرة وسط الميدان 😂😂 فين_صندوق_التفاح,not racism
فين؟,not racism
أنا قليل فاش كانشوف بحال هادشي 😕😕,not racism
الأسود الداكن,Racism
شكرا لك أخي محمد🙏🙏 ونسأل الله ان يبلغنا رمضان لا فاقدين ولا مفقودين,not racism
": حيد عليا من الهم,وارا ليا التيتيز كيغني فيروز😍 songoftheday",not racism
فين هاشي ؟؟,not racism
للأسف ماصدقاتش النظرية 😕,not racism
: شنو هو فيروس_كورونا_المستجد وطرق الوقاية منو؟ بلغة الإشارة.. نشوفو توضيحات ديال أميمة via: jooj - جوج,not racism
للأسف 😢😢😂,not racism
: تكون حاط تيليفونك يتشارجا وهو مكيتشارجا گااع 😭,not racism
: باش يوصل الفكر الاجرامي دبنادم تا لهاد الدرجة...فراه فعلاا الحضييييض...تخرج عادي حيث ملزم تمشي للخدمة وتقد تهز كورونا فا…,Racism
الشلوح في زمن الكورونا 😂😂,Racism
"نعمان الحلو في زمان الكورونا : ""كان وكان يا مكان كورونا اصبحت عنواان""",not racism
: كنتمنا تكون محاسبة مريض يموت بجوع ماشي المرض,not racism
: أكثر حاجة كانت تخلي الڤيروس ينتشر هذا الأسبوع الأخير هي أعوان السلطة و القيّاد و الصحفيين لي خارجين مگجگجين بدون إحترام تا…,not racism
: قاعدة قانونية جديدة العاطس بريء حتى تثبت كرونيته😂😂😂😂😂😂😂😂,not racism
امال بلوكاتني فالحساب القديم معرفتش علاش معمرني درت ليها شي حاجة وخا هكاك ندعموها,not racism
وايلي على الإنتحار ، ممكن تكون عندهم مشاكل نفسية,not racism
: كورونا_المغرب أمام صدمة بهذا الشكل، أهم شي يجب فعله هو أن تكون مفيدا للآخرين، وفي حالتنا، بقا_فدارك,not racism
: المغرب صاحب الجلالة الملك محمد السادس، القائد الأعلى ورئيس أركان الحرب العامة للقوات المسلحة الملكية، يعطي تعليماته ال…,not racism
: أصوات تقشعر الجلود في هذه الساعة بالضبط كل أطفال ونساء وشباب ورجال وشيوخ حينا وأحياء طنجة كلها صعدو أسطح مساكنهم يرددو…,not racism
: تخيلوا معايا ان بنادم مسالي تا لهاد الدرجة...يعدل الارقام فصورة وينشرها...علاااش زعما ؟ شنو غاتربح. ؟!!! اتمنى يتوصلو…,not racism
: تفرج باش تعرف الأمور في الدول المتقدمة فين واصلة عندهم القضية. كورونا_فيروس covid_19,not racism
: ها مغاربه في مدريد هادي ميركادونا ههههههه,Racism
عبقرية الإنسان المغربي 😂😂,not racism
: وراء كل خطوة جميلة ، دعوة أم 🌷,not racism
: المكان : جامعة العلوم الإنسانية بسيدي بنور الزمان : 23 شتنبر 2095 الحدث : تقديم أطروحة الدكتوراه الموضوع : تحليل الإشكال…,not racism
: في مرحلة من حياتك ستلاحظ أن دائرة اللامبالاة لديك قد اتسعت وأن أغلب الأشياء لم تكن جديرة بكل ذلك الاهتمام.,not racism
: دعم اذا كان ممكن لحسابي، أو نمشي نتكمش✋🙏🙏🙏🙏,not racism
: قالت ليه ماذا ستهديني في عيد الحب قاليها ان لا اهدي لكن الله يهدي من يشاء التربية الاسلامية 1 عيد الحب 0 😁,not racism
اي اي باقا كادوري هنا سحابلي مشيتي تنعسي 🙄🙄,not racism
هادا ولد أمل🙄🙄,not racism
مزال مبتدئ داكشي مرة كايصدق مرة لا 🙄,not racism
حب في زمن التقاشر 😂😂😂,not racism
من الجمل التي يجب عليك حفظها بمناسبة عيد الحب,not racism
تسلل واضح سيدي الحكم 😂😂😂😂,not racism
: إلا ما بغاتكش شي وحدة را ماشي حيت نتا غالط ف شي حاجة ولا فيك شي حاجة خاصك تصلحها، غير ما بغاتكش وصافي المشكل ماشي ديالك.…,not racism
فين اودي شفنا شي سهرة 😥😥,not racism
بالصحة تكشيطة جاتك زوينة😍,not racism
: الى دخلتي لتيليفون باش تسيفط شي تصويرة لشي كروب ديال العائلة كاتحس بحال الى داخل لشي حقل الغام اي غلطة غاتنهي حياتك 😂😂,not racism
: لا تتعجب من ان يكون للمجرمين معجبين فحتى الشيطان وجد له عبيدا,Racism
ممكن تكون سلمى البرصاوية 🙄🙄,not racism
": الحكم بالسجن النافذ على المديرين السابقين لـ""cdg"" و ""cgi""",not racism
ولا تسمح أبدا لأحد مهما كان قريبا أن يعلم بالقصة بتفاصيلها ..,not racism
: عاد دابا فهمت علاش كان يناير طويل.. حيت منو لشهر 8 نيشان 🥵,not racism
😥😥و الجالية فين غايقضيو الأغراض ديالهم,not racism
عيو و مرحبا بيك بغيتي تمشي و تخلي السفارة خاوية 🙄🙄,not racism
و مجموعة من الشخصيات المرموقة و المتخصصة في العلاقات البين-شهرية,not racism
ماتت مذيعة العربية زوج نانسي عجرم قتل روح بريطانيا خرجات من الإتحاد الأوربي,not racism
: وراء كل رجل عظيم... نفسه ما كاين لا امرأة لا ستة حمص، و وراء كل امرأة عظيمة نفسها... العظمة و النجاح و كل مرادفات ال…,not racism
هادي هيا تقريب الإدارة من المواطن,not racism
لا تسأل الطغاة لماذا تجبروا بل اسأل العبيد لماذا ركعوا صفقة_القرن,Racism
: بالعناق يا كرونا 😂😂,not racism
: واش ممكن تحيدو هاد المصطلحات ديال الخيانة و المقاومة و الوطنية و الراية و الشعب من الكرة راكم دفگتو البراهش معاكم,Racism
هادي لي كنتي هازت ملي تلاقيتي الأستاذ ؟,not racism
اله اجيب الشفاء 🤲🤲,not racism
هنا فين غاتكولي ليهم أنا حرة😂😂,not racism
أغنى الوزارات يا حسرة 😥😥,not racism
: مهما كان معدلك تخصصك طبيعة دراستك افخر بكل مرحلة وصلت لها بجهدك لا تقلل من إنجازك لاتقارن نفسك بغيرك لا أحد يعلم تفاصيل حياتك…,not racism
موتوا بنظام و انتظام يا ناس وجدة,Racism
رباطي فاش كاتسولو فين جات القامرة وكايسيفطك لسلا,Racism
اعلا سلامتك فين غبرتي علينا,not racism
: قتلى وجرحى في اصطدام مباشر ما بين حافلة للنقل العمومي وشاحنة كبيرة بالقرب من راس أومليل على الطريق الوطنية رقم واحد على ب…,not racism
: ملاحقة_الأشخاص_المبحوث_عنهم الشرطة القضائية بالدار البيضاء، وبتنسيق مع مصالح المديرية_العامة_لمراقبة_التراب_الوطني، توقف…,not racism
: واحد سول مراتو😜 قالها: أش بان ليك نرجعوا كيف زمان😍 أو قالت ليه كيفاش😕 قال لها:مانعرفك ما تعرفيني 😁😂😂شتك_دايزة,not racism
بنادم داير الثقة فبولحية 😕😕,Racism
هادشي مافيهش لا بولحية لا بلا لحية ديك اللحية باقي كاتخرج على بنادم كاتبان ليه اللحية كايكول صافي الدين و الملة وكايصدق داكشي غا تصاور و طريقة لكسب الثقة د المغفلين,Racism
: اظن ان التصنع لا يزيد الشخص الا قبحاً,not racism
: الصويرة توافد ساكنة الإقليم بشكل كبير، من مختلف الجماعات الترابية، على مدينة الصويرة، وذلك لاستقبال جلالة الملك محمد ال…,not racism
: يااااامن نصبتم أنفسكم على الدين أوصياء . واش مكتحشموش?,not racism
انشالله خير,not racism
ب 550درهم، لي قدر يعاونها لكان في المستطاع، ولا غير رتويت ربما يشوفها ش فاعل خير. الله يرحم الوالدين,not racism
"""صباح الخير 🌸🌸 وان كانت ليلتك أشد الليالي سوءاً واكثرها عتمة على قلبك، كن على يقين بأن الله الذي أمر الشمس بأن تشرق، قادر ان يخلق لك فرحه تشرق بها أيامك""",not racism
ههههههه,not racism
من قلة الأدب كيجيني هد السؤال,not racism
ان كندعم ا أغبياء والتفاهة 🤣🤣,not racism
ياربي تحفظ الجميع و بخصوص اسماء 😂😂,not racism
تي فين هو الفيلم 🤣😂,not racism
": الطيور فاش كايشوفو شي طير زربان كايقولو ليه ""مالك باغي تمشى؟""",not racism
ههههههه التحاق بالزوج 🤣🤣,not racism
بيجوووووغ فين تصويرة د القهوة,not racism
": ساكن مع كرك فجبل طاو او فرحان ""ههه خففو علينا"" راك خفيف خلوق",Racism
و رميت أمنيتي في بئر يوسف ..و ها أنا في إنتظار قافلة العزيز ..لـ علَّها تأتيني بها...,not racism
: استغفر الله العظيم الذي لا اله الا هو الحي القيوم و اتوب اليه عدد خلقة و رضى نفسه و زنة عرشه و مداد كلماته,not racism
اصلا لي بدأه دانييل كملو الكويتي ودابا نوبت هد الحيوان، معرفتش واش ولادنا رخاص تال هذ درجة لي جا يبيع ويشري فيهم كيف بغا، مقارياش القانون ولكن كنعرف بلي إلى الحق المدني تنازل الحق العام مكيتنازلش و فحالة اغتصاب كايكون اما زواج أو حبس مدة خمس سنوات مع تعديل حالة ضحية اما قاصر او,Racism
ههه وايه,not racism
اللهمّ إنّها في ذمّتك وحبل جوارك، فقِها فتنة القبر، وعذاب النّار، وأنت أهل الوفاء والحقّ، واغفر لها وارحمها ، إنّك أنت الغفور الرّحيم. انا لله وانا اليه لراجعون.,not racism
حسيت براسي شريرة فهذ لحظة 🙄,not racism
واحد الجابونية فين غبرت 🤔🤔,not racism
: لك أنف يا تازي أنفت منه الأنوف أنت في فاس تصلي و هو في مكة يطوف. ~جلال الدين للرومي,Racism
فين لكمالة,not racism
مكين خروج,not racism
: اذا كان المسيحيون يعترفون في الكنائس فإن جزءا من المسلمين يعترفون بخطاياهم في البارات😭😭,not racism
اللهمّ إنّها في ذمّتك وحبل جوارك فقِهِا فتنة القبر، وعذاب النّار، وأنت أهل الوفاء والحقّ، واغفر لها وارحمها إنّك أنت الغفور الرّحيم. انا لله وانا اليه لراجعون.,not racism
: ولد المكلخة قالها لكيدوي بلونغلي بلدي😂😂,Racism
عمري سمعت ليها مزال آمال ماهر و يسرا محنوش كيطربوني فاش كيغنيو لأم كلثوم,not racism
: بني ملال، سوق الثلاث 1971,Racism
قمة الإنسانية 🤣🤣,not racism
ولاد الدرب لاعبين لي دخل لدارهم الأول مو قحبة,not racism
ههههه فرق كبير يا عمري,not racism
😂 😂 😂 😂 😂 كملت مع الخيط لي دايرة في ايدي صافي لصقت عليا التهمة,not racism
ماسكي الكونفيغساسيون وهني كرك 😂,not racism
فين هي تصويرة ديال لمعيزات,not racism
وخا كبرت لا معطاونيش فلوس لعيد كيبقا في الحال😂,not racism
منهم انا 😂😂,not racism
انشالله يا ربي، مبروووك عيدكم,not racism
😂 😂 للأسف,not racism
عقل صغر 😂😂 الله يسمح ليا منهم,not racism
قريتها الأقحوان ههه,not racism
بشاااخ ناس فين وصلو وانا واحلة غير مع المسمن,not racism
: نحن لا نجاهد الحمير .... نجاهد الكفار والمنافقين لما توصلي لمستوى ابن آدم نجاهدوك . اما انك تنفجرين ب…,Racism
للأسف ديما كنت كنخرج بكري 😢,not racism
احسن حاجة وقعت ههه,not racism
استغفر الله العظيم الذي لا إله إلا هو الحي القيوم وأتوب إليه لي ولجميع المسلمين والمسلمات والمؤمنين والمؤمنات والأحياء منهم والأموات عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته ....🌿,not racism
اللهم ان كانت هذه الليلة ليلة القدر تقبّلنا بقبُول حسن، واجعلنا من عُتقائك من النار، ولا تجعلنا من الخاسرين🤍.,not racism
ولد وجدة الجود و الكرام,not racism
المريولين غايبقا فيهم الحال 😂😂,Racism
هتلر ومدارهاش,not racism
كاميرا كاشي وقيلة دازت لعام لي فات ولا غير تبدلو الاشخاص، حتارمو الدكا ديالنا 😣,not racism
حالة ف عائلة فحال هكدا لحد ساعة باقي مولفناهش وخا دازت عليها عام ونص وهو معانا مقدرناش نبغيوه وحتى هو مزال داك التوتر,not racism
كرهتهم بكثرة التحاليل وخصوصا فاش كنت تنطيح فشي سطاجيرة الله ياخد فيهم الحق,not racism
فين ما كان شي شميكير كيعجبني 😂😂😂,not racism
لا تاهي تتقصى ههه,not racism
قالو ناس زمان بعد من دمك لا يطليك,not racism
وجع التراب انظرا المهيدي قتل تايكة ولا مزال,not racism
داك شي لي كنت تنقول و بنادم مكدم,not racism
خليك لي لي,not racism
توحشنا الماكلة ديال الزنقة 30سنة اخر حاجة كلاها في الزنقة قتلة ديال لعصى,not racism
قليل فين كنستعملو و محيدة ديك لعيبة ديال confirmations de lecture,not racism
لا ميمكنش عيد الفطر خاصني ندوزو مع عائلة وصحابي,not racism
خائنة فين هو عصير 🍋🍋 بدلتيه 😭,not racism
اللهمّ إنها في ذمّتك وحبل جوارك، فقِها فتنة القبر، وعذاب النّار، وأنت أهل الوفاء والحقّ، فاغفر لها وارحمها، إنّك أنت الغفور الرّحيم. انا لله وانا اليه لراجعون,not racism
طول العمر انشالله، وتحقق ما تمنيتي,not racism
القبر 😂😂,not racism
وخود دواك ورتاح، انشالله يفرجها ربي,not racism
: درناك وريدة فوق الميدة جرحتي الكبيدة درناك عنيبة ندوقوك راس العام صدقتي السمومة -حجيب ابن…,not racism
: 18/ رمضان 🕌🌙 ان احسنت فزد و ان قصرت فعد و تذكر قوله تعالى “اياما معدودات” ❤,not racism
تا فين هيا الراحة فين تقدي ب سبيسيال هي لي موجودة 😂😂,not racism
مكنقدرش نتبع ش حاجة ههه,not racism
وجدة,not racism
الله يحفظ الجميع,not racism
بلاصة فين خدامة بنت مريضة وفيها كاع الاعراض وليوم جاو داوها,not racism
بطول لعمر انشالله,not racism
لا خليك تا يأذن وفيق لاش تمحن,not racism
بالشفاء العاجل إنشالله خير,not racism
هههههه هدشي لي بان لي وخا انا 04,not racism
: يا رب ان كنا مقصرين في ما مضى فأحسن لنا فيما بقي من رمضان ♥️,not racism
بصحتك كحل راس ديما داوي وخا معرت شنو دير,Racism
شكون عقل هد تصويرة ف رمضان د لعام لي فات,not racism
انشالله,not racism
دو كمامات لي ف فرماسين لا علاقة شريت باكية كاملة مقطعة خاصني انا نعاودها ف الخياطة ولا شنو سوا يديرو حاجة معقولة ولا بلاش 😡😡,not racism
انشالله تحقق داك شي لبغيتي,not racism
وصافي هايا جات العطلة دغيا غيفوت الوقت الصبر,not racism
دابا المشكل فيهم حيت قبلو بديك الصدقة وقبلو على الذل ؟؟,not racism
لاحول ولا قوة الا بالله العلي العظيم 😱,not racism
كنت شفت ليها واحد الفيديو كتغني صوتها زوين صراحة,not racism
كنت تنسمع واحد لولد ديما كيقولها ل صاحبتو ملي سولتها قالتي فحال كبيدة فحال بيبي 😂😂,not racism
شي سيمانة مبقيتش شفت الاحصائيات تال ليوم ههه,not racism
: على أمل أن تمر هذه الأيام بسلام .🙏🙏🙏,not racism
: كنت بشتقلك وأنا وانت هنا 💙,not racism
رمضان لي فات كنت تنخدم بليل مع كنقطع فطوري كنطير لقهوة نورمال واحد جوج، عاد كنمشي نخدم، دابا لواليدة قالت ليا مزيان مخدماش تعقلي على فطورك ودارت شي ضحكةةة مفهمتهاش😶,not racism
😂 😂 😂 😂 نيت طلع لكتابة في خطرة,not racism
ههههههه وياه,not racism
فين غادة,not racism
ههه ملي كنت تنكمي كنت كنبغي نقول لشي حد ارا تيلكومند كنقولو ارا بريكة 😂😂😂 لحمدلله ديما مسامعينيش اما كن قطعوني من حالة المدينة,not racism
منهم ختي الصغيره غاطير بالفرحة ههه,not racism
غادي ترجعي لبلاصة فين تسرطات لك وتاخديها منها تكون عندك غير لكارط ناسيونال,not racism
للأسف مكانش لي يحفظها كبرات مع عائلة بابها وكلهم مسيحين,not racism
فين نقدر نلقاه,not racism
مشيت ليها على قبل 3 ايام ضربت فيها سيمانة وليت كل مرة كنمشي ليها مكنملش منها، يسالي هدشي انشالله اول حاجة غاندير غنمشي ليها,not racism
ايام الصغر توحشناها,not racism
فين ما ماما كنت كاتحمر دقيق كناخد ليها منو ونصايب الشامية بالتخبية ههه,not racism
وخا نبدلو الديكور اش بان لك بعذاب القبر 😂,not racism
خيي سال عليا من حين لحين ديرني فبالك و ذكرني وشكون من غيرك يا الحنين يعرف حالي و يعذرني 😭,not racism
انا ف رمضان ميبقاوش يسمعو حسي ههههه قطعتي خايبة 😆,not racism
خليك مع تامر عاشور، وخلي عليك الراب اصحبي كل واحد وشنو كيعجبو,not racism
لهلا يوريك ههههه صراحة توحشت دوك ليااام ههههه,not racism
ههههه اانا كنت ريحة كتلصق لي ف شعري كتر من لحوايج 😂😂,not racism
