text,label
": ""ماتبقاوش تبدلو تصاور ديال بروفيل باش نبقى عاقل عليكم 😂😂😂 كاتلفو ليا ملي تبدلوهم 😂😂""",not racism
: فيروس كورونا .. عدة دول أوروبية تتجه تدريجيا نحو رفع الحجر الصحي عاون_بلادك_خليك_فدارك,not racism
": ها علاش اوروبا مبقاوش يحملو العرب هد النوعية الهيطوكية مالين ثقافة ""كلشي ديال الله"" هي لوسخاتها وطيحت بالسمعة ديالنا htt…",Racism
را غاتنعس ولكن خاصاك مدة باش يالاه اجيك النعاس 💤,not racism
جاك الجوع و لا مازال؟ 😋,not racism
: كورونا_المغرب المجلس العلمي الأعلى يفتي بجواز عدم غسل وعدم تيمم المتوفى بسبب مرض كورونا لاعتبارات شرعية وصحية.,not racism
: الدار المغربية فيها 3 دالناس: 1 حاضي الاحصائيات.. 2 داكشي ديال التعقيم.. 3 هاداك لي كولشي كيتهمو بلي هو لي غايجيب كور…,not racism
جهة كلميم واد نون تسقط أمام وباء كورونا بعد صمودها لأزيد من شهر 😥😥,not racism
: تخيلو هاد رمضان غانفطرو ونجلسو نتعشاو ونعسو ونفيقو نتسحرو ونعسو ونفيقو نجلسو باش نفطرو كورونا_المغرب الحجر_الصحي,not racism
": من غرائب زمن كورونا أنك تجد مجموعة في"" راس الزنقة"" تناقش و تنتقد عدم التزام الآخرين بالحجر الصحي"" الذي فرضته السلطات !",not racism
: هذا حسابي الجديد إدعموه من فضلكم 🙏😁 حسابي القديم يتعرض لنظرية المؤامرة في زمن الوباء من اصحاب الحسنات وما أك…,not racism
: لا شك ان فيروس_كورونا اقترب لكل واحد منا لمسافات متفاوتة وقد يكون حط على يد احدنا فالهمه الله غسلها والنجاة بنفسه وبمن يحب…,not racism
: أي بروفيل فيه هاد العلامات ب 3 عرفو زبل إلكتروني : 1 - ترويج أخبار سلبية صحيحة أو كاذبة عن قطر و تركيا 2 - ترويج أخبار جيدة…,Racism
يعني كلشي باين 😊😊😉,not racism
أولا و قبل كل شيئ علا السلامة 🤗,not racism
: كورونا_المغرب عدم تسجيل أي إصابة جديدة بجهة_العيون، بعد تعافي بقية المصابين. الحمد لله والشكر لله 🤲,not racism
: 🇲🇦 المغرب| مدينة اكادير📍agadir تحاليل كورونا أصبحت تجرى بالمستشفى الحسن الثاني الجهوى بمدينة أكادير والنتيجة في ظرف 4 س…,not racism
: فيروس_كورونا المغرب يمر إلى السرعة القصوى، ستة مراكز استشفائية جامعية تشرع ابتداء من الاثنين في إجراء الكشف المخبري، ودعوا…,not racism
الأسود الداكن,Racism
: أغنية كورونا اللبنانية مقارنة ما مع وزوجوووونا لا تقتلنا كورونا 🤦🏻‍♀️🤦🏻‍♀️,not racism
هادي مرقة مكونجلية ، نفتاضو ضربتي بيها شي حد و تفلق و مشا شكا بيك عند البوليس باش غيعمرو المحضر🤔 ، الضرب بالمرقة مثلا 😂😂,not racism
دبا باش غانعرف بلي هاد الذبانة لي كاضور حدايا مافيهاش كورونا 🤥🤔,not racism
تسجيل أول حالة شفاء بالناظور من فيروس كورونا لشيخ في 80 من العمر الامر يتعلق بالشخص المصاب الاول على مستوى إقليم الناظور، والذي تعرض للاصابة بالديار الفرنسية، ويقطن بجماعة سلوان الواقعة بالنفوذ الترابي لاقليم الناظور. كورونا_المغرب,not racism
نمشي نتفرج فشي فيديو ديال الزوز قبل مانعس 👋👋,not racism
مع هاد الحجر الصحي كلشي غايتعلم الحسانة فالدار مهنة الحلاق في خطر ↙️↙️,not racism
كان يا مكان في قديم الزمان،كانت شركة مقاهي أمريكية الأصل ،يسمونها ستاربكس و لها فروع بالمغرب و كان حلمي أن أحظى بكوب قهوة في هذا المكان المرموق، إلا أنه اجتاح العالم وباء كورونا فحال دون تحقيق هذا الحلم ، وبعد مرور هذا الوباء اغلقت هذه المحلات للأبد و اندثر الحلم 😭😭 كورونيات,not racism
هادي دراسة دارها واحد أستاذ جامعي على تطور كورونا بالمغرب,not racism
امزازي را باقي وزير التربية الوطنية غير زادو ليه مهام الناطق الرسمي,not racism
أُعفي الحسن عبيابة من الحكومة بشكل رسمي، الثلاثاء 7 أبريل 2020، وأُسندت وزارة الثقافة والشباب والرياضة إلى عثمان الفردوس، فيما بات وزير التعليم، سعيد أمزازي، ناطقا رسميا باسم الحكومة.,not racism
: الدراري كيكونو مجمعين فراس الدروبة ديال حومتنا كل كروب مكالي السوار ليطيحو بسيف لشغل لمشغلة حتى كتبالهم السطافيط داخلة كتلقاهم…,not racism
بنادم كيسحاب ليه بلي كورونا كتخرج دور مع الستة لا حول و لا قوة إلا بالله 😕😕,not racism
: قول ليها واحد البنت فتويتر ماشافتش دارهم قريبة عامين ورونديفو ديال فيزا ديالهم تأنيلا ومكن تولد ولدها لول لي رب…,not racism
: عدد اختبارات فيروس كورونا في الشرق الاوسط و شمال افريقيا.,not racism
: دابا دولة غادي تصفط ميساج. ديال دعم بالمكان سحب و التاريخ سحب... باش ما تسببش في الازدحام لي يكون كارثي... خططت انه…,not racism
: صندوق تدبير جائحة كورونا سيصرف الاعانات المالية بالنسبة للملفات المقبولة للمستفيدين من خدمة راميد ابتداء من يوم الاثنين…,not racism
: كورونا_المغرب تطويق مدينة الريش بعد إصابة 23 شخص من عائلة واحدة .,not racism
باقي خاصك شهرين باش تعلمي 😏😏,not racism
: ~قليلا من الإيجابيات وسط هذا التوتر ... الامور رجعات لقيمتها الحقيقة،ماكاين غير ماكلة الدار ،تولي ضرب حساب لماكلة الزنقة.. م…,not racism
: المشكل الحقيقي لأزمة فيروس_كورونا هو أنه لا أحد يعلم متى سينتهي هذا الكابوس 😭😭😭,not racism
: عفو ملكي لفائدة 5654 معتقلا. أصدر صاحب الجلالة، أمير المؤمنين، أوامره باتخاذ جميع التدابير لتعزيز حماية نزلاء المؤسسات الس…,not racism
ارتفاع عدد الوفيات في صفوف الأطباء إلى ثلاث وفيات 😢😢 إنا لله وإنا إليه راجعون كورونا_المغرب,not racism
: شنو هو فيروس_كورونا_المستجد وطرق الوقاية منو؟ بلغة الإشارة.. نشوفو توضيحات ديال أميمة via: jooj - جوج,not racism
: كورونا_المغرب تحذيرات من خطورة استعمال تطبيق زوم في الاجتماعات عبر تقنية الفيديو.,not racism
: كورونا_المغرب سيدتان تغادران المستشفى بطنجة، صباح اليوم بعد تماثلهما للشفاء من الفيروس. طلع_المورال,not racism
: كورونا_المغرب المبادرات التي كشف عنها مخترعون شباب تثلج الصدر، وتؤكد أن المشكل ليس في الموارد البشرية وإنما في المنظومة.,not racism
: مهما ارهقتك الحياة قاوم الانحناء، ولا تنسنى ان المهندسين يتسولون في عصر كورونا😞😞😞,not racism
من ايجابيات الحجر الصحي : -فرصة باش تعلم الطياب و الحداكة -فرصة باش تعلم الحلاقة -اقتصاد في فلوس المكياج للفتياتش -تعرف على مالين الدار -تشبع النعاس و الراحة ................زيدو من عندكم .................. تكمش_فدارك,not racism
شوف مع الصندوق ديال كورونا,not racism
ديال القهوة 🙄🙄🙄,not racism
😂😂😂😂 بحال والو,not racism
أمريكا تتخطى عتبة ال 200،000 مصاب أي بنسبة 22.4% من مجموع الحالات بالعالم مايقارب ربع حالات العالم كورونا,not racism
نتوما مالكوم على البغرير غا لي جا كيبان ليه بغرير 😂😂,not racism
"بحال ديك اللعبة ديال ""خفف السير الشرطة "" 😂😂",not racism
: هاشنو گلت ..را ماكين لا حضر لا ستة حمص ...😭😭 بلا منهضرو على افريقيا 😭را كيف ما قلت ...مكملاش 20% ديال البشر للي معنيا بهادش…,not racism
عليك بالقرنفل اولا الكدران,not racism
بحال بحال ، وخا المنظمة هي لاسورس ديال كلشي غير هاد سيت كايعطيك التحديث دغيا,not racism
: باش يوصل الفكر الاجرامي دبنادم تا لهاد الدرجة...فراه فعلاا الحضييييض...تخرج عادي حيث ملزم تمشي للخدمة وتقد تهز كورونا فا…,Racism
: أيها المواطنون .أيتها المواطنات. صاحب المهابة الإمبراطور كوفيد-19 يخاطبكم,not racism
: كورونا_المغرب بعد تناسل الفيديوهات حول ظروف استشفاء المرضى بلاغ توضيحي لإدارة المستشفى_الجامعي_بمراكش.,not racism
الشلوح في زمن الكورونا 😂😂,Racism
: هام_جدا تأجيل العطلة الربيعية بالنسبة لجميع أسلاك التربية الوطنية والتكوين المهني والتعليم العالي والبحث العلمي,not racism
: كورونا_المغرب وزارة الصحة تحقق في ملابسات فيديو مستشفى_سطات في انتظار كشف الحقيقة كاملة,not racism
