id,text,Majority_Label,label
69,فيصل الجحش انت درزي كلب وبدك تحكي بالدين الاسلامي فشرت فيصل الجحش تتكلم باسم الدين الاسلامي,1.0,Verbal abuse
70,كول هوا صرمايه السيد تاج راسك وراس رءساء العرب الانذال المتخاذلين ولك السيد انت كنت,1.0,Racism
71,مين قلك ناسر بيي ومين قلك تفجر بيتي ومين قلك انه عم باخد رايك بالاساس كول هوا وقحط صفحتي وبدل تتكامخ,1.0,Verbal abuse
72,تقلد كلامي غبي,1.0,Verbal abuse
73,يلعن روحك حافظ,1.0,Verbal abuse
74,عيبو عليكي ايران عم تحوي ارهابيين تعلمي السعوديه درسيهم عندك وبعتيهم لبرا,1.0,religion_off
75,يلعن اقرفك,1.0,Verbal abuse
76,حدا قلك كول هوا اذا انا اول يقلك هوا,1.0,Verbal abuse
77,سليمان فرنجيه عباره كلب مسعور لديه حاسه شم قويه جدا شم ريحه كرسي الرءاسه ولكنه يجلس عليها ابدا وتصبحو خير,1.0,Verbal abuse
78,صحيح اي شك الدروز كلاب خونه,1.0,Verbal abuse
79,عمرو اديب يمسح بالطفل المعجزه جبران باسيل الارض ويخلي الي مايشتري يتفرج,1.0,not offensive
80,حدا غيرك امير الارهاب والمجرم السفاح طز بهيك بلد امتالك حمار,1.0,religion_off
81,رواءع التسديد بنص وجه الخنزير,1.0,Verbal abuse
82,انت بتضب لسانك احسن نقبعو شلوشو شليش طز فيك بشار قاتل الاطفال,1.0,Verbal abuse
83,بجد كلامك صحيح وانت اول الكلاب طبعا الكلاب كثرت الزمن اكيد,1.0,Verbal abuse
84,خلص كول هوا العمي بقلبك شو حاقد وسخ الله يحشرك يزيد اللي علمك هالحقد,1.0,Verbal abuse
85,يللي عم قوله نوع التهكم بهله شو بدي اعمل اذا راسك محدود,1.0,not offensive
86,صدقتي ديما للاسف اللبنانيين اكثر تخلفا وعنصريه,1.0,Racism
87,لبناني مشرد اي بلد يدخله للبناني ينشر الفساد والرشوه,1.0,Racism
88,فرق ولد يهودي مات جريمه ومشفي انقصف ومات زلمه جريمه حرب فرق تعفيش عفرين اكل خري وبراميل متفجره وكيماوي جراءم حرب ضد الانسانيه,1.0,Racism
89,زين ملفك تختلف عنه بالصفه فقط فهو اامير وانت مرتزق وكلاكما كشهاب الدين واخيه,1.0,Racism
90,بعدان مينك انت نكره بدون اسم وصوره يصير عندك اسم منبقي منحكي روح انقبر,1.0,Verbal abuse
91,اكيد الخدم بيوقفوا برا شان هيك شفنا حدا جماعتك,1.0,not offensive
92,عشانك حماره,1.0,Misogyny
93,كول هوا ولاك درزي الكلب,1.0,Verbal abuse
94,دخلك انت بتعرف معلمك باي مجرور مجارير الضاحيه مخبي خراس,1.0,Verbal abuse
95,انت وديع خليك ساكت احسن تاكل نصيبك حدا بسكتنا الي بيغلط مندعسو,1.0,Verbal abuse
96,المصيبه ان الشخص بعثي بمذاق اخواني قطري يخرب بيتك عفلق الاشكال الي تركتها,1.0,Racism
97,خاءن وعميل بلدي روح فوت بطيزه لبشار وريحنا منك,1.0,Verbal abuse
98,وانت صغير فتنجي,1.0,Verbal abuse
99,ناقص وحد كلب متلك ينقر عا حزب لله عندك ضره كرامي وشرف كنت اليوم الشهداء ماجور متلك مصيرو اخر شي موته كلاب,1.0,Verbal abuse
100,بنقول يلعن روحك بشار بتطلع عاهات بتقول ادعو لولي الامر تكن فحاشا يلعن روحك بشار روح ابوك,1.0,Verbal abuse
101,يعني انت اهبل مصدق حالك,1.0,Verbal abuse
102,كذاب ومنافق الريال القطري القذر وصل لحسابك,1.0,Racism
103,قللو حمار انا بتفرج حمار معبي ببنطلون,1.0,Verbal abuse
104,الصواريخ وماصار عنا شي اعرف ياحمار الله معنا انتو مين معكن كلاب السعوديه سلمان لبغل باع شرفوا انصحك بدراسه التاريخ,1.0,Racism
105,انت حمار باللغه العربيه,1.0,Verbal abuse
106,بيسي بيسي ناو قومي خراس بقا,1.0,Verbal abuse
107,جد وقح,1.0,Verbal abuse
108,قدح وجم تفه وعلي برنامجك وعلي المحطه عم تعرضلك,1.0,Verbal abuse
109,كول خراااااا,1.0,Verbal abuse
110,روح انتحر كب حالك بالبحر اطهر ارض انجس قوم,1.0,Verbal abuse
111,وهذا ردا شعرك وشعرك اصلع وزارع الشعر المستعار,1.0,Verbal abuse
112,اختي الكريمه واضح اذا انت امراه حماره,1.0,Misogyny
113,سكتي وليك شرنه هاد جوزي بدنا نضل بسوريا ونطهرا الجراثيم,1.0,Misogyny
114,ضب زعرانك حسون لقدهرمت زت حالك شيء نفق ياكزااااااااب,1.0,Verbal abuse
115,انعل ابوكم ابو جيش اسراءيل كلاب كلكم,1.0,Racism
116,قصدو الاوباش بيشبهو رجا الزهيري ولي شاكلتو عمل ناءب معو مسلحين بيفتحو جبهه وسكروا الطريق لينزل حضرتو واطلقوا النار العالم فكيف ليعمل ناءب عم تحكي منطلق طاءفي بدعي سني وبش تعبيرك يصوت لمعاليك بقضاء الشو,1.0,Verbal abuse
117,وءام وهاب الطاءفي سبق ووصف المراه السعوديه بشوال الفحم للاسف الامارات,1.0,Misogyny
118,عاجل شرموط مجرم حرب يزور شرموط مجرم حرب تاني متله,1.0,Verbal abuse
119,كول هوا وكفنا شرك احسن منفرجيك بشروط مين منمشي لبنان وعملا اسراءيل لمتلك,1.0,Racism
120,صه طبل حنجيبك,1.0,Verbal abuse
121,سكر نيعك حقير عميل رخيص طبل,1.0,Verbal abuse
122,كول هوا عرص,1.0,Verbal abuse
123,اللي عنده كلبه يبي يزوجها للكلب يرسلي عالخاص,1.0,Misogyny
124,وعندك مذيعه الاخبار يللي اليوم معيره شفافا بالطرمبه ولازم مكسيموم,1.0,Verbal abuse
125,فيك تعتقد متل بدك المعروف وكل العالم بتعرفو انو سعد هبيله اوليتو,1.0,not offensive
126,اذا كانت الجرعه الزاءده اعطيت بهدف انه يتعذب المنشار يجب ان يعطوهم جاءزه نوبل للقتل الرحيم والله اعلم طشم,1.0,Verbal abuse
127,مدام جبران باسيل سرق عمر بالمصاري قصر بمعراب استحي عيب الشوم شعب البومه,1.0,Verbal abuse
128,انت عنجد مريض نفسيا قعود ساكت شوي العقاب لوهاب وهاب قاتل ابو دياب,1.0,Verbal abuse
129,اه هبيله,1.0,Misogyny
130,البلد عم ينهار بوجود العهد القوي وليكو عالهبيله العوني وين راسوا,1.0,not offensive
131,يلعن عرضك شو منافق بيار صوهيوشيوعي,1.0,Racism
132,روحي انقبري انشغلي بشي عمستوي تفكيرك الخرا وتركينا تنظيراتك وفلسفتك تدخلي فينا ويلا عالمطبخ,1.0,Misogyny
133,مضيفا بزماننا عنا مجنقات بخاريه قال بدهن الكترونيه قال حاج اكل خرا,1.0,Verbal abuse
134,كول هوا واسكت نباحك ازعجنا,1.0,Verbal abuse
135,اديش عثمان داعس راسك وهاب المنافق حال عثمان الكسبان اذا كنت تكره فهو عقلك وان كنت,1.0,Verbal abuse
136,انتا فلسطيني شو دخلك يازنخ ملكوف بالخليج جاحد وطنك مرتزقك كلب,1.0,Verbal abuse
137,رح تضلك تعووي نبح لتشبع رص تضل صرمايه الشيخ سعد الحريري حثاله متلك لازم تندعس لكنك,1.0,Verbal abuse
138,ماحدا حمار غيرك وغير ملكك بغل ابن الستين صرمايه جايي ورا الابل والغنم وبدك تحكي خراس وسد تمك احسن مادعس رقبتك يلعن شرفك,1.0,Verbal abuse
139,خاءن ستبقي خاءن,1.0,Verbal abuse
140,الي ساعه عم جرب اكتب تويت حكي باسيل عم يطلع بلا مسبات خصوصي شفت اللحيسه البلا شرف بلشو يطبلو,1.0,not offensive
141,انت اجدب عم تجدبا اجدب ازبط اول شي لانك فلاح وابن ضيعه تاني شي فشرت,1.0,Verbal abuse
142,لكا بالمرصاد الجبل قمه النضال وانتا غريب عنا انت مرتزقه لايران الدروز احرار ان جهلت التاريخ عبد علي المملوك,1.0,not offensive
143,اكيد اكبر بكتير قدام العاهرات,1.0,Verbal abuse
144,انت اخنزر الخنزير واوسخ الوساخه حثاله امعه جعر نتن,1.0,Verbal abuse
145,اساس الجحش بشار قمه الاخلاق والايمان خراي شرفك وشرفو,1.0,Verbal abuse
146,لهلهله كلب الامريكان عم تشتم الاستاذ بسام,1.0,Verbal abuse
147,وهاب الجحش ماع ماع ماع,1.0,Verbal abuse
148,انتي مسخره بشرفي,1.0,Verbal abuse
149,هنن هالبهايم اكتر مخلوقات بيستعملوا التكنولوجيا مشان يقنعوا حالهن انهن بشر,1.0,Verbal abuse
150,انت معلمك اول اعداء سوريا بغل حيوان روح شوف شوارع حمص يلي قصفتوها اعداء الشعب السوري يلعن شرفكن كلاب,1.0,Verbal abuse
151,انت وذميم كلكم الزباله,1.0,Verbal abuse
152,انت اول واخر عاهر وبوق ارهابي للمجرم بشار ورءيس عصابه ولي الفقيه انت احقر انسان واتفه بشر خرااا علي ابو,1.0,religion_off
153,يمكن افضل لابنك يروح الحضانه انه يتعلم يصير حمار متل امه,1.0,Verbal abuse
155,انتي شو دورك بحزب الصرامي مسءوله الشفايف,1.0,Verbal abuse
156,دوله راءعه نحنا عرصات,1.0,Verbal abuse
157,نديم لطيش ماريا معلوف البقره الضا,1.0,Verbal abuse
158,نتمني فخامه الرءيس متابعه القضيه عماد عثمان مجرم,1.0,not offensive
159,بيكون شعب سخيف متلك بيهوج بنفس وقت هجوم الامبرياليه فلازم يندعسو سخيفه لدرجه التفاهه,1.0,not offensive
160,جلدوك جلد قصروا ولله لاجء,1.0,Verbal abuse
161,انت وين امك,1.0,not offensive
162,جبران باسيل عميل لاسراءيل رعايه حزب الزباله,1.0,not offensive
163,لمين الاهلا وسهلا لبشار الاسد عيب الشوم انت عميل صغير وراح بتضل عميل وصغير,1.0,Verbal abuse
164,لانكم استاذ انت تمثل فكر همجي ودموي تفهموا الا لغه الحروب والدماء والخراب انتم وثقافتك,1.0,Racism
165,هوا وعلي الالوان نحنا عنا لون برتقالي غصبا عنك ابن الكلب,1.0,Verbal abuse
166,بتعرف شو الفرق الحر وبين الماجور انت بوق للنظام,1.0,not offensive
167,شو حيوانه,1.0,Verbal abuse
168,فلسطيني كلب الفدافي ولعلكم صوابع شمع ولم يتمر فيكم تفو عليكم وعل اليهود جنس,1.0,Verbal abuse
169,انك قذر وواطي اوافقك الراي,1.0,Verbal abuse
171,صامت جاموسه حامل مقمله مجروحه ببطنها الجرح متقيح محشي ذباب خنافس عناكب صراصير نمل احمر عضاض بق جاقمو الجوع,1.0,Verbal abuse
172,سخيفه وبجم تدمر بلدكم واساكم تعبدوا اسيادكم,1.0,Verbal abuse
173,حل طيز طيزي هلا بدك تزاود السوريين بڤيتنام طيزي وفوقها السوري يتعامل امريكا واسراءيل بيتعامل معهن عاهه الاسد ضل قاعد بالسلطه,1.0,Verbal abuse
174,دمر سوريا المجرم القذر بشار الاسد لسبيا دمرها معمر,1.0,Verbal abuse
175,تضرب منك لحزب اللات عمللء ياطشم,1.0,Verbal abuse
176,بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو,1.0,Verbal abuse
177,بطلي علاك,1.0,not offensive
178,صفات ابليس لعنه الله موجوده فيك العقاب لوهاب وهاب قاتل ابو دياب,1.0,not offensive
179,التلك اخرس خراس,1.0,not offensive
180,ناطره ياخدوك عسجن روميه كرمال يقصولك شعراتك المزروعين قرد الجاهليه,1.0,Racism
181,انت كون زلمي بالاول او رجال او شي نوع جنس ادام تتخبا بحساب وهمي رجاع تعا بهور وقلل اخلاق,1.0,Verbal abuse
182,شي بيهوي هيك بهايم,1.0,Verbal abuse
184,يعني انت شو بتفرق العميل فرق تكون قاءد وعندك عملاء وبين تكون طرطور وطبل مفقوع مشغلينك,1.0,Verbal abuse
185,قليل بحقه الحذاء,1.0,not offensive
186,فاريس كول هوا وريح حالك الهبل وروح جرب فهام رجاع حضار حلقه مبارح واذا بدك لان كانت,1.0,Verbal abuse
187,او حمار يشنهق فيك تقتلن خليهن هيك,1.0,Verbal abuse
188,ليك كلب بتسد بوزك وحدك احسن نسيك اسمك واطي,1.0,Verbal abuse
189,مستهبل لف لفيفها بصوت الحق جبران باسيل,1.0,not offensive
190,لابارك الله وبامثالك ياهذا,1.0,Verbal abuse
192,استحي صعلوك قليل شرف انصحك تتعلم اللغه العربيه وتترك العبريه لتحسن فهمك غبي,1.0,Racism
193,جحاشه الاخ البلوشي ومعلوماته الخاطءه تماما الاشوريين والكلدان,1.0,Verbal abuse
194,القزم جبران باسيل طلع فانز يدافعون عنه,1.0,Racism
195,طز فرنسا اوفكورس,1.0,Verbal abuse
196,كول هوا كول ضحكت علينا اليهود هههههههه ينعن عرضك شو ضحكت,1.0,Verbal abuse
197,صدق الوءام لان الكتله السياسيه تقود اليوم قاطره العهر السياسي تتواني هتك المسلمات وتجاوز,1.0,Verbal abuse
198,تنزل تغريده بتكون حتجن هبيله,1.0,not offensive
200,سارد بلهجتي كول هوا ولاك الكلب الاجرب النعال اللي تم رميه اطهر منك عبد الدرهم,1.0,Verbal abuse
201,انت حمار عم تستحمر,1.0,Verbal abuse
202,نتمني انك تخرس خالص,1.0,Verbal abuse
203,قمه الوقاحه عندما تحاصر العاهره العفه,1.0,Verbal abuse
204,حاطين جبران باسيل وقاعدين جبران قال هيك جبران حكي هيك روح بهيم شوف زعيمك ناهب البلد سنه وبعدو,1.0,not offensive
205,حمار معبا ببنطلون,1.0,Verbal abuse
206,كول خرا عقبالك تجيك صرمايي بخلقتك,1.0,Verbal abuse
208,زلمه كلهن هيك بالسعوديه طشم,1.0,Verbal abuse
209,مش قاصدك انت خراس,1.0,not offensive
210,عندما يقال شحاذ يظهر باسيل جبران,1.0,not offensive
211,العما بعيون عيونك شو انك حيوان وبهيم وعديم الاحساس العما جحش لسه تنبح وتغرد بتاكل ميه بهدله والف مسبه روح انطم بقي وحط صرمايه بحلقك وحاجتك اكل خر يلعنك ويلعن معلمك الحيوان بشار المماتع قال دكتور مناضل قال اتفووووووو شرفك وشرفه اذا عندكم شرف,1.0,Verbal abuse
213,عملتو ممسحه وكبتو,1.0,not offensive
214,بيساهل ابن زانيه صباحك نور استاذنا,1.0,Verbal abuse
215,الوزير جبران باسيل تاج راسك جربان ممنوع اليوم المساس بمقدساتنا ربنا والهنا يسوع المسيح,1.0,Verbal abuse
217,الله وءام زفت يشتم امير قطر الحين قبلها يمدح يقول منافق الله انت المنافق,1.0,Verbal abuse
218,سمعوا لهل الشوفه والله شوفوا لهل السمعه عاهره تحاضر بالشرف,1.0,Verbal abuse
219,بفتكر انت بتتقن المكر والعهر,1.0,Verbal abuse
221,لاول مره اتفق معك بحظور البهيم تميم لبنان زادت الزباله كيس زباله,1.0,Verbal abuse
222,شرطي روسي ابن الستين كلب,1.0,Verbal abuse
223,طرش غنم منعدمه عندون القدره التفكير اجترار الخطاب الممانعجي المعفن,1.0,Verbal abuse
225,الحريمه بتضل حريمه,1.0,not offensive
226,روح كب حالك بالزباله ولك انت مابتنقبل بتدوير النفايات ولك ياجحش الرءيس عنا مقدس انت شو حشر انفك مشتاق لشي بوط عسكري ولك حيوان,1.0,Verbal abuse
227,للخروف عون,1.0,Verbal abuse
229,طز وعلي معلمك احمق البيت الابيض,1.0,Verbal abuse
230,قهرني الله يقهره,1.0,not offensive
231,ههههههههههه هبيله مين جاب سيره تميم وقطر غيركانت بتقول انو امير الارهاب طميم,1.0,religion_off
232,كيتا يازنجي ياحمار تفوو,1.0,Racism
234,حكام العرب احقر بعضهم مامور وبعضهم شحاد متسول,1.0,Verbal abuse
235,عزيزي وءام وهاب ايه رفعت الكلفه لان حتي كلمه استاذ كبيره انت اكبر منافق اكبر جبان,1.0,Verbal abuse
236,صحيح انك هبله,1.0,Verbal abuse
238,انتي وءام وهاب والصرامي متعودين لغه الصرمايه السوريه لحيسه,1.0,Verbal abuse
239,فكره رجلي بالدكتاتور اردوغان سبتويت,1.0,not offensive
241,فيصل كرامي كلو كرامه انتا شقفه زعطوط كلب السعوديه الاسراءيليه تنقبر ترمي صفاتك عا شخص صرمايتو اشرف راسك راس معلمك,1.0,Verbal abuse
242,تركيا احقر يكون مشروع ينفذ مشروع غربي مسيحي خبيث كخبث دينهم,1.0,Verbal abuse
243,مكيف النهيق تبعه اموي شو بده يطلع,1.0,Verbal abuse
245,نعيما دندن انت ومعلمك بتوصلوا لصباط جبران باسيل,1.0,not offensive
246,خلص خراس,1.0,not offensive
247,نص البلد رايي سخيفه,1.0,not offensive
249,منحبك جحشنا,1.0,Verbal abuse
250,الله يعطيك العافيه شو لسانك بيسبك تفكيرك سكوت زلمي,1.0,not offensive
251,وصار تكتب شعر هتيله,1.0,not offensive
252,اول مره بشوف وقاحه متل هالنوع شفلي شي دوله عندا ذره كرامي بتقبل انو كلب سياسي متل اشرف ريفي يدافع الارهابيي,1.0,religion_off
254,اتصالات سكليه سحليه انو شو بنفهم منك فهمانه طويله رقبتك,1.0,not offensive
255,قطر الارهاب,1.0,religion_off
256,خلص هبله قطر عمرت اربع ضيع الجنوب ايران عمرت الباقي البقاع والضاحيه,1.0,not offensive
257,بحب ذكرك هبيله حلفاءك فوتوه علعراق ونهبوه ذاتن فريقك الممانعه والامريكان والصهيانه,1.0,not offensive
259,يحرق عرضك روحي عالمطبخ فضحتي لدنيا وانت وهبلك,1.0,Verbal abuse
261,عمرنا ماتدخلنا بغيرنا ابعدوا كلابكم عنا والمنشار نحطه ذنبك ياذنب انت يحميك,1.0,not offensive
262,شو عملت وشو حكيت عويت ونبحت وجعرت ونزلك قرق حدا رح يرد,1.0,not offensive
263,الكل بيرشق هالسياسيين العرب بالسرامي بكون شي كتير منيح الاقل بيعرفوا قيمتهم الشعوب,1.0,not offensive
265,يوما وقريب جدا سنراك السجن شبيح سوري قيمه,1.0,not offensive
266,انقبر اطلع الصفحه عميل,1.0,Verbal abuse
267,ميشال عون عون صهرو الهبيله جبران باسيل باسو صرمايه تميم كرمال تشتري قطر سندات لبنانيه لبنان دوله شحاده رسميا,1.0,Verbal abuse
269,عقبال تموت بالشءسمو بطيزك متل ابوك,1.0,Verbal abuse
270,كول هوا احلي شي,1.0,not offensive
271,وحياه عشك,1.0,not offensive
273,عم تحكي حالك خرا,1.0,Verbal abuse
274,خد حبه ساعات يمكن يعدل مخك التافه,1.0,not offensive
275,اخزاك الله كنا مخدوعين فيك او انك افدغ مصحوك تمدح كلب ايران وحزب اللات القذر,1.0,Verbal abuse
277,المسخ البشري,1.0,not offensive
278,كول هوا مك ام فالفيردي,1.0,not offensive
279,حدا مجنون ومجرم الا انت غيرك,1.0,Verbal abuse
281,طيب رد عليها وبلا اكل خري,1.0,Verbal abuse
282,الدوله تحترم نفسها انت يالبلطجي السجن,1.0,Verbal abuse
283,فيصل الزفت القاسم,1.0,Verbal abuse
285,كول هوا ابو وجهك,1.0,not offensive
286,قلنا تميم البرغوثي اخونجي سافل احذروه نطو اشقاءنا المصريين وقالو لااااااع ده شاعر وقومجي طيب يلعن بيك القومجيه والقومجيين,1.0,Verbal abuse
287,وءام زرع شعر شالو طيزو زرعن براسو وقتا ضاعت لبوصله يتدشا خرا,1.0,Verbal abuse
289,وزيركم مخرف,1.0,Verbal abuse
290,ضيعان الفهم دكتور,1.0,not offensive
291,انتا كول هوا خصك بسوريا انت خلص بالسترات با واطي,1.0,Verbal abuse
293,رءيس روحي تروح روحك انت وكل مين شد عمشدك مش تنعترف بدار خلده واميرها الصغير بالاول قلبه,1.0,not offensive
294,منحطه بلا اخلاق,1.0,Verbal abuse
295,فهمه لهالحيوان باسيل,1.0,Verbal abuse
297,طب خود هالكلمتين كول هوا,1.0,not offensive
298,ناقص مين متخلف انت ليه انقص منكن انحبستوا انذليتوا بعدكن بتعووا بن سلمان,1.0,Verbal abuse
299,كول هوا انت يلعن زايدك وسلمانك,1.0,Verbal abuse
301,تحيه قلب فلسطين الي قطر والي اميرها الشيخ تميم وليخسا قتله الاطفال الشام,1.0,Verbal abuse
302,ياخي الولاد الصغار عمر تلات سنين بدهم حرق يطلعوا معك بباص بقرفوا,1.0,Verbal abuse
303,العمي شو سنتين ليقبضوك لحتي تغردي هلا,1.0,not offensive
305,عباس نوري قرباطي اعرف اباك اعمل ال ان اي حفيد السستالني,1.0,not offensive
306,انت جد قابض حالك جد ومفكر حالك متفهم بالسياسه ماءجور وبتحكي معلمينك بقلولك هبيله,1.0,not offensive
307,كسار راس المرتزقه شذاذ الافاق,1.0,not offensive
308,صبح ربك او الاوامر جاي بكير لتجعدن ماحده شيطان اكتر منك,1.0,Verbal abuse
310,شو النوع يلي ضاربو ههههههههههه,1.0,not offensive
311,تاكل زق تنطم صالونه,1.0,Verbal abuse
312,يعلن الاسد وكل لاعقي الاحذيه,1.0,Verbal abuse
314,كول هوا صارو,1.0,not offensive
315,بتحط صوره بتقول السوري يضب غراضه ويرحل وبعدين بتقول ضروره لتغذيه الحقد انتي حماره عم تستحمري,1.0,Verbal abuse
317,ضو كول هوا,1.0,not offensive
318,فشر برقبته جبران باسيل,1.0,not offensive
319,هذول نفسهم بيحبوا الاسد ومعتقلين ان الثوره السوريه مءامره ويءيدون قصف المدنيين بصراحه ازبل اليمين,1.0,Verbal abuse
321,ولك كول هوا يازلمه,1.0,not offensive
