,text,label
51,اي اعلام تقصد اعلامك كاعلامكم او اعلام الجزيره او ال سي ان ان فعلا انتم اكثر انواع البشر كذبا علي علي وجه الارض,not racism
52,فلما تذهبون انتم وقاده حماس والجهاد لتطعنون جنود جيش الاحتلال الاسراءيليون,not racism
53,انتم تصدرون بترول العرب وامواله لليهوذي وتتكلم وتنتقذ تركيا اما اليهوذي يدعي ان المقاومه يحير,Racism
54,عادي المشكله يقتحموه يهجروا الفلسطينين براحتهم يكونو مش مفكرين العرب سيرمون اسراءيل يوما بزبيبه العرب فقط قادرين عاصفه جزم العرب,not racism
55,كول هوا صرمايه السيده تاج على راسك وراس رءساء العرب الانذال المتخاذلين ولك السيد انت كنت,Racism
56,قرينه جديده عماله الملاحده المرتدين للغرب ولصهاينه غرر بهم في فاسراءيل الكبري المخطط تجاور حق الجار جاره مناصرته,Racism
57,لماذا رشادين والاسلاميين اغبياء اغبياء غير حقيقيون اسمع,Racism
58,الحروب يدعي انها لم تشن باصفهان او بطهران بقم اصبحت الدول العربيه وشعوبها ملك ال فارس فضمها محافظات لامبراطوريه ال فارس فعلا اوقح واوسخ واحقر الفرس,Racism
59,الكلب المتلك بيحب يحس حالو ضيع للاسفك انت كلب بشاري وحسن حارس رقم,Racism
60,ام نص : لو لسان ابكي بترتاحي,not racism
61,ارحل ياسيسي مليونيه30يونيو الشعب السوداني العظيم ده بيسطر اكبر ملحمه التاريخ يارب النصر لهذا الشعب لانه اخد بالاسباب وعرف الع كر مفيش وراهم الخراب ثوره 30,not racism
62,حكم جنرالات فرنسا عسكر فرنسا بالجزاءر اكبر حليف لنظام الاسد الصهاينه بسوريه وصنعتهم فرنسا,Racism
63,فلما لا تذهبون انتم وقاده حماس لتطعنون جنود جيش الاحتلال الاسراءيليون,not racism
64,جراءم ومجاز عملاء ايران الدول العربيه حقد ايراني طاءفي بل وصفوي دفين ضد عربي مسلم,not racism
65,الاعرابي السعودي التكفيري يظن انه يختار الديانه لغيره لان الكورد يءمنون بحريه الاديان اما انتم الاعراب فقد شوهتهم الاسلام,Racism
66,اغلب هؤلاء الامراء يعرفون يقولون يعرفون شيء دينهم زنادقه وطراطير تربوا ملاهي امريكا ومراقص اوروبا,Racism
67,كانا المسكنين في يتعلمون يقتلون النساء الاطفال حت يبغثهما الموت يقتلا امرءه طفلا حال شهداء سيدخلهم علماء الدين ال سعود الي الجنه,not racism
68,ءوبه كلاب خربوها ، ، وقعدوا تلتها,Racism
69,طيب احنا بيعنا سكوتك او بمعني اخر يا كول هوا,not racism
70,اسود منك كلامكك وقلبك وشكلك ما شفت تحكي القتل صاحب الوجه البشع وبشارك قتل الملايين الشعب,Racism
71,ياجزيره العنوان غلط امريكا طرف في الحرب العنوان كانها محايده ال سعود لديهم المقدره الكاملة للقيام بالحرب الدعم الامريكي,Racism
72,الله يلعن الاخوان المسلمين بلي بذرهم للمره الثانية الالف التوالي اناشد رءيس دوله كوريا الشماليه المحترم كيم,Racism
73,اكيد الجواب اسالكم عنه موجود اروقه الخنزيره طبعا لانكم الاقرب الاسراءليين اي احد العالم ارجوا عدم الاستعباط,Racism
74,شوف فالاول الضحيه شوفي بقا تقولي بحال مرا نخرج عرفتي نتي تصاور كيتسماو اغراء لواحد مزوج قاتلك مرتو باش كين بنت كتصور وسيري مرتو الصح بلا نتي كيدخل مرتو لابسه بيجامه داربا اغراء فساد علي راسك واش معندكمش رجال فداركم.,not racism
75,كلاب الامارات اللي بدهم حرق حرق الله يلعنهم,Racism
76,حول قوه الا بالله الله اكبر اولاد الاوروبين اصبحو مربين في بوزبال اوروبا اشاهد الاجانب لديهم وشوم اكتر الاوربيين,Racism
77,كذاب ومنافق : الريال السعودي القطري القذر وصل لحسابك,Racism
78,اجانب كلابين وضيعين مايتكلمون الا عن تاج راسهم السعوديه,Racism
79,الم يصلك خبر الاصلاحيين الذين طالبوا ببعض الحقوق تم اغتصابهم السجون وسلط عليهم النظام اقسي انواع العذاب انك تعيش كوكب اخر,not racism
80,يبدو ان الحوثيين بصدد الانتقام لضلم دام 40 سنه مس كل شعوب الشعوب الخليج الي الاطلسي,not racism
81,اتي الروس الي الشام لقتال المسلمين جبهه النصره والشعب العربي السوري والمسلمين اسم حرب مقدسه اين المسلمين روسيا ليردوا عليهم يليق,not racism
82,يلعن روحهم كلهم كلهم الاسبوع الجاي قريب ان شاء الله,not racism
83,اكبر متخلف عرفتو هو الدوله اللبنانيه انت هيك عم عم تحرق دين العيش المشترك عنصري ولك اني كنت ايد الرءيس,Racism
84,خبرونا ايه كلاب تبع قافله ام بيعووا بالعربي او الفرنسي,Racism
85,السيد زيدان خولف لماذا تعود بلدك مادامته فرنسا اليس بهذا السوء انك تاكل النعمه تسب المله انشر الراي والراي الاخر,Racism
86,الم لم ولم يكن اجدر بالكاتب السعودي ان يهتم بحال اشباه العبيد البشر السعوديه,Racism
87,"الكاتب يبدو ان لديه عقده اسمها مع ايران, لقد صدع رءوسنا والتي يريد ان يبرر فشل السياسات العربيه بنظريه المءامره الايرانيه يخترعها عقله الطاءفي",not racism
88,هدا ليس مرض نفسي لدينا ابناء واصبحنا نخاف اللهم الطف بنا يارب هدا الزمان نري العجب,not racism
89,روسيه ودشاديشها يعني روسيه جيش ايران اوامرها دشاديشها وطبابيلها الشبيحه ومرتزقه البراميل اللي راحوا يصفقون الدب الروسي فهمت اشرح مره ثانيه,Racism
90,ءوبه كلاب في الديرة خربوها وقعدوا تلتها,Racism
91,اتركوا بلدنا لا نريدكم ايها العرب,Racism
92,سعنا القول اننا نحارب ضد العروبه الملعونه وفي النهايه تعودنا الاسوا وهناك ينتهي المطاف بالادعاء وحتي يتعجب حالته المزريه ضربه كبيره ماشالا ولديك المنافقين الكبار المهووسين الزاءفين معظمهم قابيل منعوا انفسهم تعليم اطفالهم باللغه العربيه الجنرالات المسءولين البلده الفيشو تعال لديك الاخلاق لتقول ou توقف صغير الخاص الدعايه العربيه زالت لغه جميله الجيد معرفه اللغات رد فعلك عنصريه اللغه العربيه مسءوله شيء وانا انجح والافضل انه بشكل ملموس عمل عنصري ضد اللغه العربيه يزال الحمقي والجنرالات والوزراء وكل الحمقي يسنون قوانين التعريب العنصري ويعفو عنهم ابناءهم ابتداء اويحيي يتجمعون السجن ويحسن الامر بمجرد انهي مهمته التعاونيه السيلاتيكيه اسمي ينا نعرفه pov con سيقول ساركوزي حسنا اوقع واصر اللغه العربيه خطر مثبت يتم التحقق ازعاجه انحاء العالم اعرف دوله عربيه واحده لغه عربيه جيد مكان كارثه لان اللغه مجرد لغه المطلق انها تنقل ثقافه قيم الخارج ثقافه العالم العربي قيمه بلا جدال ودليل يدعم مقابل القيم العالميه للتقدم والحريه والتسامح والمساواه وغيرها فقط تابع اخبار العالم قالها عربي مسلم شتاته ومشاكل التكيف الالفيه الثالثه,Racism
93,اش هاد السم الخراط اش هاد القيح,not racism
94,السبب الرءيسي هو الحكام العرب العرب الخونه,not racism
95,السيد زيدان خولف لماذا تعود بلدك مادامت فرنسا ليست بهذا الشكل السوء انك تاكل النعمه تسب المله انشر الراي والراي الاخر,Racism
96,انشالله بضلوا ما بعسنكو يا اسود الدوله,Racism
97,شكلك موظفه بارات الدوحه او قواده لان في مستعربين في الشمال وخصوصا اللبنانيين مايملكون هالمواهب,Racism
98,كولو : هوا مامنشتغل كلبك بشار,not racism
99,السءال الغاءب على شاشة قناتكم الاغلبيه المحللين المتابعين لاسراءيل المحتله لفلسطين الحق تصدير الغاز الدي غاز فلسطيني سرقته اسراءيل وبهدا الترويج كانه اعتراف منكم الغرب بانه لفلسطين حق,not racism
100,السعوديه والامارات الصهاينه موللوه اخطاو في الحساب الليبي وليس حفتر المرتتزق,Racism
101,زين في ملفك تختلف عنه بالصفه والشكل فقط فهو اامير وانت مرتزق وكلاكما كشهاب الدين واخيه,Racism
102,كلاب من حركه شباب امل فلتانين السوريين,Racism
103,لالالا هم فقط كلاب التيار الوطني العوني وخنازير سعدان زغرتا الكلبه الافرنجيه,Racism
104,قتل امرا غابه ليس جريمه تغتفر وقتل ابناء شعب كامل مساله نظر,not racism
105,لماذا يتم التنسيق شوقي هايل والحوثي وانصار عفاش ويخرجوا بحل سلمي يرضي الجميع ويجنب تعز ويلات الحرب لماااااااااذا اين انتم يااهل تعز لماذا وقعتم عاذه الدوامه كذبت عليكم عمتكم السعوطيه,Racism
106,انتم تقولون ان الله هو الخالق لان يجب ان لا يكون خالق للاشياء اذا الخالق وجدنفسه,not racism
107,جبران باسيل كذاب منافق ، وهو عبد للدينار والدرهم,not racism
108,السيسي بطل قومي انقذ مصر جهل وغباء وخيانه الاخوان السيسي اللي كان بيعمل الاتجاهات الخارجيه والداخليه لاعاده مصر لدورها الاقليمي والدولي السيسي بيسعي بمشاريع اقتصاديه وتنمويه كبيره,not racism
109,ساعه الجنرال السيسي اوميغا تباع 137 حبه رز في مزاد اقيم حي خان الخليلي بينما قد بلغت نسبه الاقبال المزاد 21 7,not racism
110,ويلا لقاضي الارض قاضي قضاة السماء شعب مصر سيقبل ويصمت يحكمه عصابه مجرمه تابي تكون محط سخريه واشمءزاز عقل الشعب يستحق مايعده عملاء الصهاينه اذلال,Racism
111,ههه مفهمش كيفاش الشعب شوف تيفي كيدافعو وحده نعست بلا عقد زواج بلا عرس كيهينو الزوجه الوحيده مضلومه فهاده القصه واش وليتو كتحللو الحرام واش تحرمو الحلال هد ليلي مجرد بنت فاسده خاءن زاني زوجتو هديك الطفله الصغيره بريءن,not racism
112,روق خروق اجرم القوات خلقكم الله ومرجوعكن لصرمايتنا ولاك خنزير الله يلعنكم يا كلاب السعوديه,Racism
113,انت سوري درزي اكيد او علوي او خربطلي او اخرس ولاك هيك انت وبشارك معك,Racism
114,روق خروق اجرم القوات خلق الله حرام ومرجوعكن حرام لصرمايتنا ولاك خنزير الله يلعنكم كلاب السعوديه,Racism
115,ان المجرم ابن انيسه نكره ومن يقول شاطر اهل السنه غبي,not racism
116,انو شي غريب يوجعك راسك القواتجيه مو عاده بيكونو بلا راس,Racism
117,لاحول لاقوه الا بالله الله تقبله الشهداء يا اهل مصر عليكم بالاخوان اخواتهم فهم اساس فساد تخلف مصر الدين بريء منهم الي يوم الدين,Racism
118,لا ال سعود وال زايد وايرانيين والوهابيه والصهاينه كلاب امريكا تستعجل قمه الرياض واضحه وشوف منو كلب امريكا,Racism
119,الغه الاخرى غير العربيه تصلح لغسل العقول بافكار شيطانيه ارهابيه,Racism
120,الم يصلك اي خبر الاصلاحيين طالبوا ببعض الحقوق تم اغتصابهم السجون وسلط عليهم اقسي من انواع العذاب انك تعيش كوكب اخر,not racism
121,شكلك موظفه بارات في الدوحه او حتى قواده لان مستعربين الشمال وخصوصا اللبنانيين مايملكون هالمواهب,Racism
122,اخت قطر وخنزيرير قطر وكل العرب مين بيشد ايد خنازير قطر,Racism
123,فكيف لا يكون مصلحه الولايات المتحده اسراءيل السعوديه اخر كلمات التقرير توضح التحالف الخفي العلني السعوديه اسراءيل المحافظين الجدد الامريكيين او ما يسمي بالثالوث الشيطاني,Racism
124,يبايع اميرة المءمنين فهو مسلم كافر دمه مهدور,Racism
125,استحي صعلوك قليل شرف انصحك تتعلم اللغه العربيه اولا ثم وتترك العبريه لتحسن فهمك غبي,Racism
126,الاعراب هم اشد كفرا ونفاقا الله يمن يمن الايمان والحكمه,Racism
127,كول هوا صرمايه السيد تاج راسك وراس كل رءساء العرب والمسلمين الانذال المتخاذلين ولك السيد انت كنت,Racism
128,اسمع ياصحافي نيك ام يماك ناكت صليبي اكيد وجابتك مملوء حقد المسلمين نيك امك الامه منيوكه زمان الصليب واليهود والطواغيت المسلمين وبمساعده امثالكم تفوه عليكم يازباله,Racism
129,تلحس طيزي انت خلص ملكك اللوطي انت خلاص خلص الحوثي بعدين تعال حكي,Racism
130,الحروب يدعي الفرس انها تشن باصفهان او بطهران بقم اصبحت الدول العربيه وشعوبها تحت ملك ال فارس فضمها محافظات لامبراطوريه فارس فعلا اوقح واوسخ واحقر الفرس,Racism
131,النفاق المسيحي لماذا يتعامل المسيحيون بازدواجيه عندما يتم انتقاد الديانةه المسيحيه عكس انتقاد الاسلام,Racism
132,صرمايه يا عثمان براسك وبراس يلي ما خلفوك وانت يجب ان تكون السجن منافق وضيع ولن نسكت عنك ان تك,not racism
133,طيب بيعنا نقول لك سكوتك او بمعني اخر كول هوا,not racism
134,اكيد الجواب الذي اسالكم موجود اروقه الخنزيره لانكم الاقرب الاسراءليين من اي احد العالم ارجوا عدم الاستعباط,Racism
135,جيش وشرطة مصر خير من رقاصات الارض,Racism
136,انشالله بضلوا ما بعسنكو يا اسود الدوله,Racism
137,السعوديه والامارات وحتى الصهاينه موللوه لانهم اخطاو الحساب وليس حفتر المرتتزق,Racism
138,قتل امرا غابه جريمه تغتفر وقتل شعب كامله ليس مساله نظر,not racism
139,الخارج الامه والدسيس الاسلام علماء السلاطين بتسمياتهم المختلفة المتعدده من هيءه كبار مهرجين الي كباريه الازهر,not racism
140,خلي حكامك العرب تشوف فعلاهم اسال ساقط ساقط يقولك زلمه,not racism
141,يبدو ان خنازير الروس يستوعبوا درس جند الله في افغانستان فها يعيدون الكره ثانية وسيخزيهم الله جديد القادر,Racism
142,كول هواك شقفه وانت عميل كلب وواطي وحقك فرنكين بسوق الغلا نسيت كنت تنام بالقرداحه ناطر بالدور,not racism
143,العما بقلبك قديش بتحب بلبهدله وءام وهابه انت حقير وكلب وشرشوح وانت قمه الزباله انت حقير حقير حقير,not racism
144,ستري تصويتهم الاعوج ولن سيقودون الاسد الصهيونيللمحاكم الجنايات الدوليه الا لانهم سيدينونه ولان حاميحدود الصهاينه والثوره ستقوده للمحاكمه ورغم مجلس الامن الاستعماري,not racism
145,جبران باسيل كذاب ، منافق ، عبد للدينار والدرهم,not racism
146,مناسبه اغتيال الصحفي السعودي خاشقجي رحمه الله لايسعني الا ان اقول يلعن روحك حافظ الاسد روح ابنك يا بشار روح الي خلفك,not racism
147,الدوله الاسلاميه نصرها من الله ومن نصر الي نصر عالم الواقع والمطبلين والمهللين لامريكا فرحون باوهامهم هههه,not racism
148,"تنتحل صفه ابن هاشم ابن هاشم تبينه عماد وهاشم عماد تبينه احد فروع حجام العرب, وحجام العرب غالبيتهم اهل السنه والجماعه فيا عماد كف الانتحال",not racism
149,انت شخص تافه جدا لدرجه واطيه جدا بحطك علي مستوا اي صرصور قطوش,not racism
150,وانت شو تعتبري حالك وانت صرت موالي لهذا الحرباء جن بلاط ههههه,Racism
151,ال سعود الانجاس اذلاء حقراء امثال ترامب يظهرون للعالم انفسهم اقوياء افقر الشعوب,Racism
152,الشياطين الحقيقيين مشيرات ولواءات وكل قاده مايسمي الجيش والجيش كله استثناء الشياطين الجيش والشعب المصري شياطين الجيش ابناءشياطين سلاله الشياطين,not racism
153,ام علي نص لسان حالها عم تحكي,not racism
154,المالكي : كلب كلب وماتخفي صدوركم اكبر,not racism
155,لماذا يتم التنسيق شوقي هايل والحوثي وانصار عفاش ويخرجوا بحل سلمي توافقي يرضي الجميع ويجنب تعز ويلات الحرب لماااااااااذا يااهل تعز لماذا وقعتم عاذه الدوامه ولماذا كذبت عليكم عمتكم السعوطيه,Racism
156,لا ال سعود وال زايد والوهابيه والصهاينه كلاب امريكا تستعجل نتائج قمه الرياض واضحه وشوف منو هو كلب امريكا,Racism
157,طهر نيعك عميله مفتن صغير جوت اميره قطر بنيعك ملاحظه جوت بالقطري يعني صرمايه,not racism
158,الله ينتقم الامريكي اللعين لا قدري الله ان يظرب مسءولي الامريكان بالحذاء,Racism
159,ساءق التاكسي يقل ناش زوجته وقد يكون فقد التحكم السياره اصول عربيه مصر العربيه,not racism
160,الامارات مصر لكنا اليوم شعوب بالشرق الاوسط نمجد بمكتب الارشاد الاخواني ونطبل ونضع صور سليم الاول ولولا السعوديه ووقوفها بوجه ايران لكان حالنا مجرد شعوب درجه سابعه تابعين للفرس لذلك يكره المثلث العربي بقياده الاخوان المحمدين والسيسي مجرد حذاء مستخدم اعجميا وحزبيا,Racism
161,قتل امرا غابه جريمه لا تغتفر ، وقتل شعب كامل مساله نظر,not racism
162,كانا المسكنين في يتعلمون يقتلون النساء الاطفال حت يبغثهما الموت او يقتلا امرءه طفلا حال شهداء سيدخلهم علماء ال سعود الي الجنه,not racism
163,رحمه الله الله قتله يا اسيادك البوق الكبير,not racism
164,العسوديه هدفها استراتيجي استعماري اضعاف اليمن السيطره بحر العرب ولكنها بهذا الاسلوب العمل تزيد عدد الدول تعاديها وتءجج نار الفتنه,not racism
165,اما يكن عميل لبريطانيا لاعتقلوه تسمي جنوب افريقيا اي تحت استعمار الانجليزوامريكا خايف يتوجون الاسدالصهيوني والسيسي بتاج,Racism
166,لايام جايه راسكن اللي بلارض راح يكون عملاء ايران,Racism
167,كنتي بنت ناس مكنتيش تصيفطي ليه دوك تصاور عريانه مصوره بديك طريقه بحال شي محترفه دعاره او او كتقولي راجلي باش راجلك فاتحه واش حنا باقين زمن لفاتحه نوظي احبيبه جمعي راسك قالك ظحك نتوما كظحكو روسكم او تعطيو فرصه لشمايت يلعبو عليكم واش تستاهلي كاع فيك الي بغا يظامن خاصو يظامن بصح محتاج تظامون ماشي بحالك يديرها ايديهم او يجيو يشكيو,not racism
168,شيت او شيت جاد فاك لايف كول هوا ما تلحس طيزي,not racism
169,فينيقيين ولسنا العرب اعوذ بالله اصول العرب ههه هو اصل العرب جرب,Racism
170,وهذي تقدرون تعرفون الخونه والسيارات المرتزقه والحمير المستاجره تطلعون تقرير عنها,Racism
171,يدور قطري مسكين مايدري ان امير قطر قد سلم قطر للتركي الفاسق يعني خليك مشرد,Racism
172,القلاقل والمذابح قامت ايران وحلفاءها المعتقد الصفوي بتنفيذها لبنان ذبح الفلسطينيين ايدي حركه لبنان امل والعراق حرب ايران الخميني وبقيه بلاد المسلمين بدات تعود عليهم بالوبال,not racism
173,ان هذا المجرم ابن ابي انيسه نكره شاطر اهل السنه غبي,not racism
174,كلاب الامارات اللي ما بدهم حرق الله يلعنهم,Racism
175,رجل عنجد مافي اكتر من هيك شخص ما بحب بهدله انت اد اجرو شيخ سعد روح جيب حفاضات هجيز وتحفض ونام احسن شي,not racism
176,انو غريب يوجعك راسك القواتجيه مو بس عاده بيكونو بلا راس,Racism
177,لالالا فقط كلاب التيار العوني وخنازير سعدانه وخ زغرتا الكلبه الافرنجيه,Racism
178,طهر نيعك عميل مفتن صغير جوت من امير قطر بنيعك ملاحظه جوت من بالقطري يعني صرمايه,not racism
179,ارحل ياسيسي مليونيه30يونيو الشعب السوداني بيسطر اكبر ملحمه التاريخ يارب النصر لهذا الشعب الشعب لانه اخد بالاسباب وعرف الع كر مفيش ناس وراهم الخراب ثوره 30,not racism
180,انتي عم عم تحكي ام نص على لسان روحي انطمي,not racism
181,هييه ارادوا اعتقاله لاعتقلوه فهو ارض السودان وحكمه الغرب جنوب افريقيا اكثرها سود,Racism
182,لانكم استاذه انت تمثل فكر همجي ودموي تفهموا الا في لغه الحروب والدماء والخراب انتم وثقافتك,Racism
183,اين حريه التعبير يقول اطردوهم اقول عندما يخرج الصليب الشرقي الاوسط نعود الي ارض الوطن العربي,Racism
184,ليكي عميله يا جوعانه مين اللي دافعلك لتحاربي السيد السعوديه اسراءيل او امريكا,not racism
185,لماذا تريدون نشر هذا البريد الزفت الالكتروني انتم اغبي خلق الله,Racism
186,ارحمك عرص خول تميم قنوات قطر القنوات الشاذه امثالها خيانه ضد الشعوب العربيه الاسلاميه الافريقيه اعلاميون شواذهما هعدم الخونه بامري,Racism
187,لاجل خدمه مصالح شعوبهم مفلسف وقارن شعوب الدول المتقدمه صناعيا بشعوب الدول المستعمره كمثلنا,Racism
188,ينفعه التكريم ان مات كان مقعده جهنم,not racism
189,واين مسلمين من البترول او ان يمدوه لاسيادهم اليهوذ,Racism
190,السعوديه تلعب مءخره في خليج الخنزيره جهزنا لبوس جيد لمنع الحرقان,Racism
191,ولك حل عنا حروب طلعت خلصت من الحكايه اساس انتوا جبتوا الخير لبنان بيكفي عنا مزبله هيدا,not racism
192,تلقاك تحريري هارب القرون الوسطي ولسه بتحلم راجل التخلف سمه حضارية مميزة لهذه الشعوب وثقافتها,Racism
193,ام في نص على لسان عم تحكي,not racism
194,واين مسلمين البترول او حتى يمدوه هدية لاسيادهم اليهوذ,Racism
195,سرطنه عمان نات بجانبها هموم وشءون الامه يبدو انها تنكرت لجيرانها العرب انصح عمان عمان بعدم الابتعاد قضايا الامه العرب واذكر مسءولي البلد بان الذءب ياكل الغنم القاصيه,Racism
196,انت شخص تافه لدرجه انك واطيه جدا جدا بحطك علي مستوا صرصور قطوش,not racism
197,استحي صعلوك قليل شرفه انصحك تتعلم من اللغه العربيه وتترك العبريه لتحسن فهمك غبي,Racism
